"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,16,7,3,9,3,11,15,12,12,16,14,12,3,8
"2",16,14,17,9,13,17,6,17,9,8,9,17,10,17,12
"3",4,5,5,11,11,16,8,16,6,7,2,4,5,2,6
"4",14,4,4,6,4,7,15,13,3,5,10,12,14,13,4
"5",17,10,1,17,10,8,10,11,17,17,1,8,16,9,11
"6",9,13,2,7,1,11,2,5,10,11,5,16,2,8,1
"7",7,17,9,15,16,1,17,9,7,1,6,10,1,12,9
"8",10,1,3,8,12,2,7,1,11,9,17,1,7,16,10
"9",6,11,16,16,5,6,3,12,4,15,13,2,9,11,5
"10",12,15,6,13,3,14,9,4,5,2,15,7,11,5,16
"11",5,12,14,5,7,12,13,3,13,6,3,3,15,14,7
"12",8,3,13,14,14,9,5,6,16,4,12,13,13,4,2
"13",11,6,15,10,8,5,14,2,2,13,4,15,8,1,13
"14",15,9,11,2,15,15,16,7,8,16,14,6,6,7,3
"15",1,7,8,1,17,10,1,8,1,10,8,9,17,10,17
"16",2,2,10,12,2,13,12,10,14,14,11,11,4,15,15
"17",13,8,12,4,6,4,4,14,15,3,7,5,3,6,14
