"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",11,6,16,17,13,5,5,10,3,8,3,17
"2",7,17,13,14,17,10,4,15,9,2,10,1
"3",2,12,10,1,15,15,9,2,2,11,5,7
"4",1,1,8,12,9,12,11,17,14,5,1,13
"5",17,8,11,2,16,9,18,16,12,14,8,15
"6",10,10,1,18,14,18,14,12,17,10,14,6
"7",3,7,17,3,2,4,7,13,13,9,13,5
"8",6,4,6,15,3,8,17,7,5,13,7,2
"9",13,5,3,4,5,16,3,14,4,3,9,10
"10",12,11,14,10,6,2,16,3,18,1,6,9
"11",8,3,2,9,18,1,6,4,10,18,11,11
"12",15,15,5,6,10,7,1,8,15,12,2,3
"13",16,2,15,7,12,13,12,5,7,6,17,4
"14",4,16,4,5,11,6,15,9,6,4,15,16
"15",14,13,9,13,8,3,10,18,1,16,18,8
"16",18,14,7,16,1,11,8,1,11,7,12,14
"17",9,18,18,8,4,17,13,11,8,17,4,12
"18",5,9,12,11,7,14,2,6,16,15,16,18
