"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",5,11,10,2,1,13,18,14,19
"2",4,1,5,12,3,4,8,10,15
"3",17,19,17,18,2,12,5,13,7
"4",3,21,12,8,15,6,11,19,5
"5",18,3,11,20,17,17,12,7,18
"6",1,6,20,7,13,16,2,12,13
"7",19,14,21,9,5,5,14,3,11
"8",14,20,6,11,10,15,3,2,20
"9",9,7,2,6,4,18,13,4,6
"10",15,18,4,5,18,3,20,11,12
"11",7,5,15,16,12,7,21,1,9
"12",11,17,14,14,6,20,19,21,14
"13",21,8,1,13,14,10,15,18,16
"14",8,16,16,3,21,9,7,6,17
"15",20,12,13,1,11,21,9,9,1
"16",6,13,3,17,19,19,6,16,10
"17",10,9,19,19,9,2,10,17,21
"18",13,2,18,10,20,14,17,15,3
"19",16,4,8,4,7,8,4,20,8
"20",2,15,7,21,8,11,16,8,2
"21",12,10,9,15,16,1,1,5,4
