"","V1","V2","V3","V4","V5","V6","V7"
"1",14,21,18,15,17,13,2
"2",6,1,10,10,11,3,1
"3",5,18,9,19,21,17,15
"4",16,14,16,21,8,2,17
"5",1,8,13,16,10,9,22
"6",2,19,15,4,14,5,8
"7",12,15,1,12,19,1,10
"8",20,16,21,9,12,16,21
"9",3,13,20,13,6,19,6
"10",19,22,4,5,7,10,12
"11",4,5,2,8,5,12,16
"12",10,3,17,6,20,20,13
"13",8,6,22,22,15,11,11
"14",11,20,11,11,1,22,18
"15",17,10,3,20,13,21,7
"16",18,4,7,14,18,6,19
"17",15,7,8,3,9,18,3
"18",22,11,12,7,22,8,5
"19",7,12,5,1,16,14,20
"20",13,9,19,2,2,4,14
"21",9,17,6,18,3,7,4
"22",21,2,14,17,4,15,9
