"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",23,11,21,1,23,16,10,12,11,5,2,6,14
"2",5,3,20,19,10,3,6,11,5,7,9,19,17
"3",3,22,22,8,19,12,21,16,4,14,10,12,3
"4",13,2,3,7,20,8,8,10,18,3,16,14,2
"5",8,18,12,12,5,23,4,9,21,6,11,1,4
"6",15,20,16,10,3,10,15,18,16,2,3,18,21
"7",14,15,18,3,12,20,5,22,9,20,15,22,6
"8",4,23,4,18,13,17,9,13,15,19,18,5,20
"9",2,9,1,11,1,7,1,23,12,15,6,10,13
"10",17,5,13,9,16,11,3,17,2,12,22,2,22
"11",19,12,23,14,8,9,7,1,23,23,14,11,18
"12",9,14,8,13,22,6,23,8,10,21,12,23,23
"13",1,10,14,15,15,19,14,2,8,1,23,17,9
"14",20,13,5,17,9,5,19,19,7,4,13,4,5
"15",6,8,7,2,7,14,20,15,22,10,19,21,15
"16",11,7,9,23,6,15,12,14,1,22,1,13,1
"17",7,6,15,4,14,4,16,5,17,18,4,3,7
"18",16,1,19,20,2,18,22,7,13,13,17,7,10
"19",10,17,17,22,21,1,13,21,20,9,21,9,12
"20",18,19,6,21,17,13,2,4,14,11,5,20,8
"21",21,4,11,16,18,22,17,20,19,17,8,16,16
"22",12,16,2,6,11,21,18,3,3,8,7,8,19
"23",22,21,10,5,4,2,11,6,6,16,20,15,11
