"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",10,16,23,5,11,19,22,9
"2",11,8,13,6,6,1,7,1
"3",7,15,9,13,1,6,23,14
"4",17,23,12,7,16,22,5,16
"5",19,22,18,16,13,2,19,12
"6",9,1,7,14,15,8,6,23
"7",1,20,15,9,21,7,12,6
"8",14,13,1,4,20,3,10,15
"9",8,14,19,19,17,16,4,3
"10",13,2,16,15,2,23,13,7
"11",18,6,4,8,5,15,20,18
"12",20,10,5,17,12,5,1,8
"13",3,7,21,20,9,4,15,17
"14",15,17,20,10,3,9,3,20
"15",6,9,17,1,18,12,18,21
"16",22,19,8,2,8,11,14,4
"17",4,11,2,11,14,21,17,2
"18",23,5,22,12,23,14,9,11
"19",5,21,3,21,4,13,8,10
"20",16,3,11,22,19,10,21,5
"21",21,12,14,23,7,20,11,22
"22",2,4,10,3,10,17,2,13
"23",12,18,6,18,22,18,16,19
