"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,10,21,24,7,17,11,9,16,21
"2",5,4,20,12,20,12,19,21,20,5
"3",9,2,6,5,5,20,15,16,22,15
"4",12,6,24,6,11,6,22,14,6,22
"5",11,7,5,21,23,7,4,23,13,16
"6",4,8,11,4,12,16,1,4,9,4
"7",18,23,22,9,24,8,14,5,8,14
"8",1,24,13,7,10,3,7,20,15,13
"9",16,9,1,2,15,4,20,8,17,8
"10",6,17,2,10,2,11,3,13,4,19
"11",7,13,10,13,18,1,13,2,24,24
"12",21,12,12,19,1,9,24,19,18,17
"13",20,3,18,15,4,2,5,12,11,6
"14",24,11,9,8,19,24,10,18,12,1
"15",14,1,14,16,17,22,8,7,2,18
"16",23,5,8,22,9,13,17,1,5,12
"17",10,20,17,11,3,23,21,3,14,7
"18",15,14,19,1,6,15,12,24,1,9
"19",17,16,23,20,14,21,2,15,23,11
"20",13,22,4,18,8,10,9,6,21,2
"21",19,21,3,14,13,18,18,22,10,23
"22",8,19,15,23,16,5,16,17,3,3
"23",2,15,7,17,22,19,23,11,7,10
"24",22,18,16,3,21,14,6,10,19,20
