"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",8,3,6,12,3,9,21,1,11,11,16,15,2,2
"2",11,10,11,5,2,24,10,11,14,1,3,24,24,13
"3",2,6,15,23,12,1,12,8,3,5,22,21,11,12
"4",4,24,7,14,22,22,13,23,9,13,4,14,10,23
"5",5,5,20,8,8,18,6,18,5,23,9,16,14,4
"6",18,8,3,6,23,2,11,6,17,20,6,9,12,5
"7",3,13,4,3,13,17,18,20,16,8,20,5,21,6
"8",14,14,9,4,15,20,5,4,2,18,19,18,3,18
"9",21,22,17,13,6,23,17,7,13,22,21,2,9,11
"10",20,9,24,11,24,16,24,14,6,10,24,13,18,17
"11",16,12,21,21,7,6,19,19,15,19,5,19,4,19
"12",23,21,5,9,9,7,7,15,19,3,18,17,13,22
"13",7,18,23,2,5,5,14,5,8,15,13,7,19,21
"14",22,1,16,1,19,13,15,22,22,14,14,22,8,10
"15",10,2,10,20,20,8,8,16,12,21,17,3,23,20
"16",6,19,1,19,16,14,23,9,20,24,12,23,15,14
"17",15,4,14,17,11,19,20,3,23,6,7,8,16,24
"18",9,17,22,22,21,21,9,13,18,4,15,10,5,3
"19",12,16,13,15,1,3,4,24,24,17,23,12,17,8
"20",13,20,12,7,17,4,22,17,4,2,8,4,6,9
"21",19,7,2,18,4,15,3,21,7,7,11,6,7,15
"22",17,23,19,16,18,10,2,2,10,9,10,20,22,7
"23",1,11,18,10,14,11,1,10,21,12,2,1,1,16
"24",24,15,8,24,10,12,16,12,1,16,1,11,20,1
