"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",22,5,16,6,19,19,20,18,8,9,6,21,18,23,21,4,18,20,7,5,16,9,21,21,20
"2",17,7,4,3,17,5,16,9,18,15,19,6,17,4,25,17,11,2,9,14,3,5,24,4,21
"3",20,17,6,7,11,8,6,11,4,24,20,8,11,5,5,5,21,24,5,18,17,24,16,20,9
"4",25,13,2,25,25,26,3,24,22,16,16,16,24,14,2,12,12,15,2,3,10,15,12,1,12
"5",18,20,9,16,18,21,10,10,5,8,21,3,16,22,18,22,4,23,17,8,24,6,4,8,8
"6",7,6,7,4,21,18,12,6,17,10,4,22,21,7,6,20,8,19,18,23,9,21,7,18,6
"7",16,23,5,18,3,7,17,8,19,17,3,23,8,21,24,7,7,8,8,4,18,18,10,15,4
"8",26,3,12,12,13,3,2,2,24,3,15,17,3,15,16,3,15,14,16,24,26,13,2,11,26
"9",11,1,14,26,26,1,15,1,1,14,13,11,12,9,13,14,26,11,26,1,15,2,13,26,2
"10",23,22,23,17,16,22,18,5,16,22,22,20,9,18,4,21,22,9,12,21,6,3,11,19,19
"11",6,21,21,24,22,9,19,14,23,11,23,10,23,11,17,10,3,17,10,22,22,20,19,23,22
"12",13,24,15,8,2,12,24,3,10,4,12,12,26,13,12,24,24,16,3,7,11,25,9,3,25
"13",4,18,17,9,23,10,9,19,3,21,9,24,6,8,8,16,9,5,4,11,23,7,6,10,23
"14",10,26,11,2,24,25,21,12,12,25,2,2,2,16,15,2,13,12,25,25,13,14,17,2,14
"15",24,19,20,10,20,11,7,21,21,7,10,7,5,12,20,23,17,7,20,9,7,23,23,17,3
"16",14,15,3,23,10,16,25,16,25,12,8,25,10,2,11,25,20,25,24,15,25,10,25,9,15
"17",1,2,26,13,14,14,26,15,26,26,14,1,13,24,14,15,14,26,1,13,2,16,1,14,1
"18",19,8,10,22,6,23,23,20,7,5,11,4,4,6,10,11,5,4,11,16,8,17,5,24,17
"19",5,10,19,21,8,17,5,7,15,6,5,5,19,17,7,9,19,6,6,19,19,4,22,7,5
"20",8,9,22,20,9,20,8,4,6,19,17,19,7,10,23,8,10,22,19,6,4,22,20,6,18
"21",15,25,25,14,12,2,14,25,13,2,1,15,15,1,3,1,1,21,15,12,1,1,15,12,11
"22",9,16,8,19,5,6,4,22,11,23,7,9,22,19,22,18,16,18,22,17,5,8,8,22,24
"23",21,4,18,11,7,4,22,23,9,20,18,18,20,20,9,19,6,10,23,20,20,19,18,5,7
"24",2,14,1,15,15,15,13,26,2,1,25,26,14,26,26,13,25,1,14,26,12,26,14,13,13
"25",3,11,13,1,1,13,1,13,14,13,26,13,1,25,1,26,2,13,13,2,14,12,26,25,16
"26",12,12,24,5,4,24,11,17,20,18,24,14,25,3,19,6,23,3,21,10,21,11,3,16,10
