"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",7,20,19,22,6,20,9,9,10,25,4,11,10,22,5,19,5,5,6,9
"2",3,7,23,3,20,17,19,1,19,5,6,6,3,25,14,8,19,17,10,18
"3",12,11,16,17,25,28,28,14,27,3,16,17,18,15,1,12,9,1,1,27
"4",21,5,12,25,9,25,20,3,22,21,13,7,25,4,23,21,18,6,19,16
"5",8,16,26,7,4,24,26,20,11,23,10,21,21,17,11,26,20,21,23,22
"6",15,3,4,1,11,3,17,17,2,27,12,9,17,8,2,6,15,22,3,13
"7",4,26,24,23,12,6,18,18,26,8,25,14,16,6,21,25,23,18,4,11
"8",2,27,13,18,19,27,22,28,4,16,15,8,13,21,22,5,10,26,18,6
"9",6,9,8,10,23,11,7,24,8,22,21,16,26,24,24,15,26,3,8,17
"10",20,25,14,2,7,18,11,23,20,7,26,24,23,23,3,7,17,7,20,12
"11",16,14,17,13,1,1,12,15,18,1,11,1,28,27,28,20,2,28,14,15
"12",11,23,11,8,21,5,5,27,21,17,9,4,6,5,7,24,11,9,16,23
"13",1,1,1,9,2,19,14,12,14,14,28,28,12,1,16,18,1,14,13,26
"14",13,17,3,28,28,16,16,16,1,6,7,25,1,14,27,28,16,8,21,14
"15",10,2,25,20,18,2,2,11,24,18,8,27,20,19,17,3,14,11,17,2
"16",14,13,18,5,24,22,8,8,25,26,23,18,7,7,26,11,8,23,25,10
"17",28,28,2,15,15,14,13,13,28,28,1,13,14,28,15,13,28,15,28,28
"18",24,10,10,21,5,21,6,25,17,11,5,20,9,12,20,4,22,24,5,21
"19",18,22,15,12,26,13,23,6,15,15,2,26,27,3,6,16,25,27,9,5
"20",23,24,22,11,8,4,21,4,5,19,18,23,5,16,25,10,12,10,7,24
"21",19,8,7,26,14,12,25,22,23,20,19,22,4,26,8,22,7,20,12,4
"22",27,19,5,6,17,23,3,5,12,10,20,5,19,18,18,27,13,16,2,3
"23",17,12,28,14,10,26,1,19,3,2,17,12,2,2,10,14,27,12,15,1
"24",22,4,20,19,22,8,10,10,6,12,24,10,11,20,4,23,21,25,22,25
"25",9,15,6,16,3,7,27,7,16,13,22,2,8,13,12,2,24,2,24,7
"26",5,21,9,24,13,10,4,2,7,4,14,19,24,9,9,9,6,19,26,20
"27",25,18,27,27,27,15,15,21,13,24,27,3,22,11,13,1,3,13,11,19
"28",26,6,21,4,16,9,24,26,9,9,3,15,15,10,19,17,4,4,27,8
