"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",22,22,25,3,28,17,2,17,15,8,22,11,2,8,5,13,5
"2",26,2,4,24,15,13,11,12,4,27,28,18,12,11,7,6,7
"3",24,17,8,6,13,1,13,29,30,15,16,3,24,16,25,7,3
"4",17,15,13,12,19,8,4,25,1,3,10,28,7,3,19,1,19
"5",1,12,27,18,10,21,9,13,13,1,29,1,30,17,16,4,18
"6",13,10,9,30,11,18,1,1,14,22,9,23,1,28,26,17,16
"7",20,28,16,21,27,3,12,2,19,10,30,24,19,14,24,26,22
"8",18,1,30,17,6,30,15,30,18,11,1,29,15,13,1,16,11
"9",15,20,29,15,18,6,22,6,9,25,24,30,25,30,17,14,1
"10",19,13,15,9,30,19,25,15,2,28,3,2,14,23,23,27,9
"11",8,5,5,16,24,23,6,5,22,12,11,9,21,5,18,25,2
"12",27,19,28,10,9,12,8,14,26,23,12,19,11,6,28,24,30
"13",11,21,3,4,5,28,14,7,3,9,20,14,13,20,30,12,26
"14",29,9,1,2,22,9,17,11,16,2,7,20,29,22,9,21,14
"15",14,14,14,28,4,7,26,8,28,4,23,5,10,4,10,19,10
"16",25,3,18,14,16,24,20,23,24,5,26,8,4,29,21,20,24
"17",2,25,2,19,21,5,16,21,17,26,2,4,3,10,14,15,25
"18",6,24,21,25,12,15,21,24,5,6,6,17,27,9,27,22,6
"19",12,11,10,8,25,25,27,28,8,18,27,22,23,7,12,18,29
"20",21,23,12,13,8,20,29,3,21,24,8,12,26,12,6,2,23
"21",30,30,23,29,23,29,19,10,10,19,14,6,17,2,20,9,17
"22",28,26,6,20,2,22,28,20,12,14,17,26,6,18,15,29,4
"23",4,4,24,5,14,2,24,4,6,16,15,15,5,15,4,28,21
"24",10,8,26,22,26,10,30,27,20,20,18,13,9,21,29,3,12
"25",7,18,7,26,29,14,23,16,25,7,13,27,16,26,3,8,27
"26",3,6,17,1,1,16,18,19,23,30,21,25,20,1,22,10,15
"27",16,16,22,27,20,27,3,22,29,29,19,16,28,19,8,30,20
"28",23,7,20,23,3,4,5,18,7,13,5,10,22,25,13,11,28
"29",5,27,19,7,17,26,10,9,27,17,4,21,8,24,11,5,8
"30",9,29,11,11,7,11,7,26,11,21,25,7,18,27,2,23,13
