"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",17,14,4,15,15,6,14,7,15
"2",3,7,8,19,11,2,11,3,5
"3",4,15,16,4,6,7,3,8,4
"4",14,11,18,5,13,16,16,2,8
"5",1,12,13,16,16,18,6,15,10
"6",16,13,12,1,2,1,10,14,11
"7",10,18,10,8,19,4,19,10,2
"8",13,4,2,17,5,5,4,12,9
"9",7,19,1,7,9,11,7,1,13
"10",19,6,15,14,8,10,15,16,3
"11",6,5,3,2,17,14,13,13,7
"12",5,1,11,13,3,12,18,5,12
"13",15,16,7,12,12,13,2,19,6
"14",12,8,14,11,18,9,1,4,19
"15",18,2,9,3,10,17,5,9,16
"16",9,17,17,18,4,15,12,11,17
"17",11,9,5,10,1,19,9,6,1
"18",2,10,6,6,7,8,17,18,18
"19",8,3,19,9,14,3,8,17,14
