"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",6,19,14,16,8,15,11,18,3,10,15,19,5,16,17,15
"2",16,10,1,8,19,18,7,9,6,19,19,6,1,10,14,12
"3",4,4,16,18,14,16,5,6,9,15,4,15,14,7,15,5
"4",14,11,20,10,7,12,20,17,19,20,20,14,12,8,11,1
"5",19,17,4,20,15,8,10,4,15,8,16,18,13,12,3,7
"6",20,1,9,1,9,1,12,10,12,12,9,20,6,1,20,10
"7",9,9,7,11,20,13,2,19,18,2,7,17,9,4,8,18
"8",5,20,13,2,16,19,14,15,11,11,11,5,16,2,1,9
"9",7,8,18,7,18,4,17,7,8,3,13,13,2,17,7,6
"10",18,15,19,6,13,6,8,13,1,7,1,11,18,9,12,20
"11",3,5,2,17,4,5,13,16,7,5,18,9,19,6,10,11
"12",11,18,6,12,10,11,19,2,4,4,6,2,8,5,16,2
"13",15,3,10,13,12,7,4,20,2,13,10,3,10,19,2,3
"14",2,16,3,4,3,9,6,14,14,14,2,12,3,13,9,4
"15",17,6,15,19,5,17,15,11,16,6,3,4,4,11,6,13
"16",10,14,17,14,2,3,3,3,10,17,14,8,7,3,5,16
"17",12,7,5,5,6,14,18,5,5,16,8,16,17,15,4,17
"18",8,13,8,15,17,2,16,12,17,18,5,7,15,18,18,14
"19",13,12,11,9,1,20,1,8,13,1,12,10,20,20,19,8
"20",1,2,12,3,11,10,9,1,20,9,17,1,11,14,13,19
