"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",15,20,10,2,14,25,20,5,16,22,20,23,21
"2",4,19,22,18,11,9,3,15,15,2,1,24,12
"3",21,26,7,21,4,16,10,10,20,11,8,20,24
"4",23,23,17,14,7,22,2,12,2,25,17,8,10
"5",18,4,20,10,9,2,4,2,14,10,24,13,22
"6",5,1,26,4,20,15,9,9,11,20,15,1,13
"7",9,9,4,26,16,12,5,3,5,23,6,17,15
"8",12,17,1,5,1,7,7,13,18,18,21,15,1
"9",14,16,25,23,2,5,26,19,8,21,12,11,19
"10",3,22,3,11,8,20,17,25,13,16,4,3,17
"11",7,3,8,15,12,1,14,22,22,26,14,22,5
"12",17,21,11,1,23,3,11,21,4,9,7,10,9
"13",16,8,19,24,15,26,6,23,17,13,9,5,2
"14",19,18,23,16,25,19,13,1,24,19,5,14,6
"15",1,12,18,13,26,6,19,11,1,14,10,21,26
"16",10,24,16,25,19,4,16,8,21,5,19,4,16
"17",24,10,24,3,6,13,18,24,23,4,16,18,14
"18",25,14,5,12,13,8,21,4,9,3,11,2,3
"19",26,15,13,19,21,11,8,26,10,17,25,26,18
"20",2,11,12,20,5,14,22,6,26,15,26,9,8
"21",11,7,9,17,10,18,12,20,3,1,22,6,25
"22",6,13,6,6,22,24,1,17,25,6,13,12,20
"23",22,6,14,8,18,10,23,16,19,24,2,7,23
"24",20,2,2,22,24,21,25,14,12,8,18,16,11
"25",13,5,15,7,3,23,15,7,7,7,3,25,7
"26",8,25,21,9,17,17,24,18,6,12,23,19,4
