"","V1","V2","V3","V4","V5"
"1",22,25,23,21,21
"2",16,11,15,18,1
"3",24,12,3,16,24
"4",13,19,27,11,11
"5",7,13,26,23,14
"6",14,7,13,27,18
"7",2,8,18,20,8
"8",1,22,9,15,13
"9",23,6,24,14,5
"10",19,21,20,26,7
"11",5,16,11,25,25
"12",25,24,12,5,9
"13",27,15,19,9,19
"14",21,14,6,12,2
"15",18,18,1,19,16
"16",26,3,8,24,12
"17",10,26,4,22,4
"18",8,10,2,4,10
"19",11,23,14,13,27
"20",9,2,21,17,23
"21",20,4,16,1,15
"22",17,9,25,6,26
"23",3,5,5,10,20
"24",15,20,7,2,22
"25",6,27,17,7,17
"26",12,1,10,8,6
"27",4,17,22,3,3
