"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",15,13,13,11,15,13,2,9,3,3
"2",13,4,5,6,4,16,3,14,7,14
"3",12,17,15,18,5,15,8,1,10,10
"4",14,5,3,9,16,12,16,4,17,9
"5",11,15,17,7,17,4,15,13,8,15
"6",4,16,2,2,13,10,9,17,4,11
"7",5,9,4,17,18,9,6,12,12,1
"8",17,3,11,16,9,7,17,16,5,6
"9",18,10,12,1,10,8,5,5,15,18
"10",16,12,1,14,2,2,11,10,13,12
"11",3,7,14,12,6,11,12,18,16,16
"12",1,14,9,5,3,14,18,8,11,5
"13",2,2,10,13,14,3,4,3,9,13
"14",7,11,7,15,11,17,14,6,2,17
"15",9,1,16,4,12,18,10,11,14,4
"16",6,6,18,8,1,6,7,7,1,8
"17",10,8,6,3,7,1,13,2,6,2
"18",8,18,8,10,8,5,1,15,18,7
