"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",15,2,3,6,3,10,16,6,8,17,11,13,3
"2",14,13,18,4,5,11,7,4,7,1,5,5,13
"3",11,19,10,12,2,19,11,12,3,7,2,19,7
"4",1,1,15,13,1,9,10,10,17,8,19,2,10
"5",13,8,4,17,19,3,8,9,9,2,17,18,9
"6",10,9,19,16,11,13,17,16,19,18,6,16,11
"7",9,11,1,11,8,5,1,13,1,19,9,1,12
"8",3,17,17,15,15,8,6,5,5,15,12,11,4
"9",17,16,5,18,4,12,5,17,14,12,13,9,16
"10",4,18,2,5,14,7,15,11,16,3,7,12,14
"11",2,7,6,3,18,14,9,18,6,13,4,6,8
"12",7,14,13,8,7,1,19,19,10,6,14,7,2
"13",6,4,8,19,10,16,18,3,4,5,10,8,17
"14",8,12,7,1,9,15,3,2,18,9,16,15,6
"15",12,15,11,7,17,18,14,8,11,16,18,4,19
"16",18,6,16,2,12,6,12,15,2,10,15,14,15
"17",5,5,12,9,6,2,4,7,12,14,3,17,18
"18",16,3,14,10,16,17,2,14,13,4,8,10,1
"19",19,10,9,14,13,4,13,1,15,11,1,3,5
