"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",9,14,21,14,14,9,16,3,2,3,7,2,16,5,14,21,3,12,7,10
"2",8,12,20,20,6,15,9,17,8,21,2,19,12,20,17,2,15,13,8,9
"3",12,8,13,21,13,2,12,12,9,1,21,16,3,9,1,3,2,21,11,14
"4",2,2,3,16,11,10,2,6,21,14,6,8,13,13,8,7,6,15,2,19
"5",18,3,15,15,10,16,3,13,5,7,12,9,18,15,5,18,19,18,16,3
"6",4,19,14,19,19,20,17,9,15,15,9,6,4,8,9,9,17,17,20,8
"7",5,5,7,4,12,17,15,20,6,16,16,3,17,3,3,5,14,7,9,12
"8",6,15,6,3,15,7,8,4,7,19,20,15,8,17,12,20,20,16,13,15
"9",13,17,9,17,17,19,4,16,16,8,18,17,15,7,15,17,13,5,4,18
"10",20,11,11,12,20,14,21,2,4,12,1,21,11,16,2,10,10,3,15,21
"11",3,4,17,10,4,6,18,18,17,5,8,13,5,14,10,19,18,4,10,17
"12",7,18,5,5,8,8,10,14,19,4,3,20,20,6,4,13,9,14,18,7
"13",1,9,10,11,5,13,1,10,1,13,14,14,1,1,16,12,1,2,17,6
"14",21,20,2,9,2,11,11,21,3,9,10,1,6,10,19,8,12,19,12,20
"15",14,16,19,6,3,18,7,7,18,6,19,4,9,19,7,6,5,6,14,11
"16",10,1,1,1,21,21,14,11,12,2,11,12,7,21,21,11,8,11,6,1
"17",16,7,18,2,16,3,5,8,13,10,5,10,14,2,20,4,16,10,19,16
"18",15,10,4,18,9,5,20,15,14,17,15,7,19,18,18,15,4,9,21,13
"19",11,21,8,13,1,1,13,1,11,11,13,11,21,11,11,1,21,1,1,2
"20",17,13,12,8,18,4,6,19,10,20,4,5,2,12,6,16,7,8,3,4
"21",19,6,16,7,7,12,19,5,20,18,17,18,10,4,13,14,11,20,5,5
