"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",11,11,1,19,6,1,14,11,12,1,22
"2",19,22,10,11,11,3,1,15,16,12,1
"3",13,10,9,21,5,15,6,20,6,21,4
"4",17,1,21,22,12,8,15,2,15,11,9
"5",5,13,20,6,4,6,17,18,10,5,3
"6",1,2,7,9,10,10,21,17,4,13,19
"7",6,21,8,1,13,17,16,9,14,22,15
"8",20,4,17,13,17,16,5,19,13,3,16
"9",8,8,12,16,19,4,19,21,19,19,13
"10",4,17,14,20,16,5,7,6,5,8,18
"11",22,14,5,17,14,21,18,13,2,9,8
"12",9,9,11,5,9,18,2,1,1,4,12
"13",14,5,18,2,15,2,10,10,3,17,6
"14",21,12,4,7,7,7,8,5,20,18,17
"15",16,19,3,4,21,9,11,22,8,6,11
"16",2,18,19,18,8,19,9,16,21,14,10
"17",7,3,6,15,1,11,4,8,18,7,7
"18",10,15,22,10,22,13,3,12,9,20,21
"19",18,20,16,14,2,12,20,3,7,16,14
"20",15,7,15,3,3,22,13,14,17,10,20
"21",12,16,13,8,18,14,22,7,22,2,5
"22",3,6,2,12,20,20,12,4,11,15,2
