"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",10,18,20,16,13,3,11,18,3,21,7,18
"2",9,19,7,3,14,19,12,7,19,2,15,19
"3",6,22,10,17,1,17,6,15,13,17,13,3
"4",19,17,13,2,12,9,20,11,17,18,3,2
"5",13,9,21,20,6,12,2,8,18,20,21,10
"6",12,11,19,6,19,20,17,16,5,8,20,4
"7",16,21,1,14,20,1,15,12,12,10,22,14
"8",4,20,22,11,8,14,22,4,10,5,9,8
"9",18,3,18,5,2,4,13,19,15,4,12,11
"10",1,10,2,13,3,21,14,10,4,14,1,12
"11",17,16,5,19,16,13,4,20,8,3,4,9
"12",5,8,17,10,21,10,5,13,16,6,2,22
"13",14,2,16,18,15,18,16,1,14,15,5,16
"14",2,15,14,4,17,5,3,3,7,16,16,13
"15",11,12,3,8,5,2,7,2,21,9,6,5
"16",22,14,15,12,10,22,8,22,22,13,17,15
"17",15,4,9,1,7,15,1,14,1,11,8,17
"18",8,1,12,15,11,7,9,9,2,1,18,1
"19",20,13,11,22,4,8,19,6,6,7,14,21
"20",21,6,6,9,22,16,10,5,9,22,11,6
"21",3,5,8,21,18,6,18,17,20,12,10,7
"22",7,7,4,7,9,11,21,21,11,19,19,20
