"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",7,5,7,17,2,1,17,9,15,21,19,13,16,13,16
"2",10,10,11,5,7,19,21,7,2,1,6,17,15,2,14
"3",12,9,19,13,20,3,7,16,1,3,15,9,18,19,17
"4",19,4,13,14,18,16,4,4,14,10,17,16,19,5,2
"5",5,2,21,1,4,11,3,12,10,13,13,20,8,8,21
"6",6,18,8,4,17,2,5,8,7,14,3,15,10,18,4
"7",18,1,9,21,16,20,14,11,11,12,4,2,11,21,22
"8",15,16,6,3,13,22,6,18,21,5,21,14,13,12,18
"9",2,14,14,22,11,8,9,10,13,2,22,1,9,1,7
"10",3,12,16,11,22,18,10,22,16,22,2,11,6,6,15
"11",20,22,15,9,6,7,19,21,12,11,18,18,7,22,13
"12",21,11,4,12,3,9,2,2,18,4,5,8,5,15,12
"13",1,8,1,10,9,15,13,14,17,8,9,22,22,20,6
"14",11,15,20,20,19,12,22,1,22,17,11,21,12,16,10
"15",9,3,12,6,14,4,20,19,20,7,10,4,2,11,3
"16",13,7,18,7,8,21,11,6,6,20,20,7,4,17,5
"17",17,17,22,18,1,13,15,15,8,6,1,12,14,9,1
"18",14,20,17,8,10,5,12,5,19,15,7,5,21,4,20
"19",8,19,10,16,5,17,1,20,4,16,12,3,20,14,9
"20",4,21,3,15,15,14,16,3,5,9,16,10,1,10,19
"21",22,13,2,2,21,10,18,13,9,19,14,6,17,7,8
"22",16,6,5,19,12,6,8,17,3,18,8,19,3,3,11
