"","V1","V2","V3","V4","V5","V6"
"1",9,17,5,3,2,21
"2",25,10,15,9,3,8
"3",20,6,13,24,8,23
"4",2,14,1,22,11,14
"5",15,7,2,6,18,7
"6",7,25,19,14,17,17
"7",5,13,8,8,20,4
"8",22,22,10,4,22,18
"9",8,18,11,13,9,1
"10",17,19,7,25,15,11
"11",21,24,3,11,6,12
"12",23,4,6,17,12,3
"13",24,16,21,20,19,20
"14",1,9,16,10,14,22
"15",16,12,25,16,1,15
"16",12,23,17,21,4,5
"17",14,20,23,7,10,24
"18",3,21,14,18,24,9
"19",19,15,20,2,13,2
"20",18,1,18,12,25,13
"21",13,11,4,15,23,25
"22",10,8,24,23,21,6
"23",6,2,9,19,5,19
"24",11,3,12,1,16,16
"25",4,5,22,5,7,10
