"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",8,9,24,10,17,1,14,2,13,2,7,18,4,8,2,24,16,9,12,25,18
"2",14,15,22,4,22,22,24,18,23,25,22,15,9,11,25,16,23,2,16,15,22
"3",24,10,14,18,5,25,10,17,20,7,2,16,26,10,3,11,10,1,11,17,1
"4",10,26,26,26,14,26,1,15,15,14,15,1,14,26,1,1,26,13,18,13,14
"5",12,16,6,14,18,9,3,20,9,22,3,17,3,2,17,9,22,24,19,19,3
"6",3,12,11,3,3,2,20,16,8,26,17,12,25,24,5,18,11,20,20,20,13
"7",2,2,17,17,23,19,19,11,19,17,9,5,18,4,12,23,19,15,24,5,4
"8",11,13,25,6,12,6,2,10,22,8,16,14,15,15,26,22,2,23,4,6,2
"9",26,11,1,13,15,13,26,26,14,15,1,20,13,25,18,25,1,11,25,9,17
"10",15,4,23,22,9,5,16,25,10,19,12,6,20,3,23,5,7,12,7,18,21
"11",20,21,21,5,21,16,17,4,3,3,4,10,22,16,21,4,12,18,23,16,11
"12",18,17,18,25,10,14,23,7,25,11,20,26,12,1,9,13,4,26,21,23,12
"13",19,18,20,9,2,18,5,24,4,21,8,25,16,14,6,19,20,16,8,4,19
"14",6,14,3,8,16,20,22,23,5,5,21,4,10,6,4,10,5,14,5,10,8
"15",1,24,15,1,7,11,8,12,11,12,14,21,5,5,14,6,8,3,26,7,26
"16",22,23,7,20,24,4,7,19,16,4,24,11,21,7,10,21,14,19,15,8,23
"17",17,3,4,16,4,15,4,8,6,6,19,3,11,13,24,20,21,5,22,21,15
"18",7,19,12,21,1,10,18,21,26,1,10,9,2,22,22,12,17,8,14,2,10
"19",21,7,19,19,20,8,11,5,7,23,23,13,7,21,7,8,6,6,17,3,7
"20",16,1,10,2,25,12,9,22,18,10,18,24,17,23,13,3,18,10,3,24,9
"21",25,25,16,12,8,21,15,13,12,18,26,7,1,19,16,26,13,17,1,26,5
"22",9,8,2,11,6,23,13,1,17,20,25,19,23,9,19,2,15,21,13,1,16
"23",23,6,9,7,11,7,21,9,21,13,5,2,6,17,8,7,24,22,9,12,24
"24",4,5,13,24,26,24,12,14,1,9,11,23,8,20,20,17,9,25,10,14,25
"25",13,22,8,23,13,3,25,3,2,16,13,22,24,12,15,15,25,4,2,11,6
"26",5,20,5,15,19,17,6,6,24,24,6,8,19,18,11,14,3,7,6,22,20
