"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,12,1,8,6,15,8,16
"2",8,14,9,23,15,22,26,20
"3",6,7,15,24,9,3,4,18
"4",4,26,11,14,14,11,1,3
"5",12,9,23,18,1,26,10,13
"6",3,3,22,10,18,19,15,24
"7",7,6,19,6,7,13,24,5
"8",2,20,20,21,23,9,21,14
"9",13,23,7,7,25,2,11,19
"10",24,11,18,13,22,23,2,21
"11",22,25,16,5,8,20,20,17
"12",20,5,12,25,26,16,18,10
"13",14,1,17,20,17,7,9,1
"14",15,24,26,26,11,14,13,23
"15",11,10,2,12,21,4,19,6
"16",18,2,6,15,4,10,22,22
"17",10,17,13,3,2,6,17,26
"18",25,16,8,22,3,18,12,4
"19",5,22,4,17,10,24,16,9
"20",16,4,5,4,12,21,3,11
"21",26,8,10,1,16,8,14,15
"22",17,19,14,9,20,25,23,2
"23",9,15,25,2,24,17,7,7
"24",19,21,21,11,5,5,5,8
"25",23,13,24,16,13,1,25,12
"26",21,18,3,19,19,12,6,25
