"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",16,17,4,25,5,3,10,2,10,20,9,4,3,17,3,16,14
"2",25,8,11,17,2,15,3,10,3,9,22,17,8,4,8,12,26
"3",19,15,17,4,17,23,20,15,25,27,21,3,12,1,2,8,16
"4",7,9,12,3,22,24,1,5,19,13,13,10,1,16,26,11,6
"5",12,4,3,11,7,17,16,18,26,10,4,21,6,24,7,5,9
"6",26,3,16,27,15,18,19,23,1,19,6,15,11,15,27,27,13
"7",3,2,18,13,16,4,12,1,13,2,17,24,10,2,20,3,15
"8",1,20,9,14,11,13,5,25,17,25,3,8,9,3,13,21,2
"9",10,26,6,19,20,19,18,6,15,15,19,23,25,5,5,25,8
"10",11,18,13,7,8,14,17,8,11,17,1,1,27,11,25,2,27
"11",5,21,23,22,3,8,21,12,24,21,23,18,13,18,24,10,7
"12",6,11,2,24,25,20,9,20,8,22,26,13,17,9,18,6,20
"13",24,25,8,15,21,6,24,26,16,14,18,9,4,21,15,4,25
"14",22,6,1,9,12,10,22,3,23,7,25,7,21,13,17,22,12
"15",27,13,14,1,27,1,13,11,12,18,27,19,14,27,10,19,1
"16",23,24,21,10,10,22,7,4,4,24,10,22,20,22,14,7,11
"17",18,16,5,6,4,25,25,24,9,4,14,25,15,8,22,14,4
"18",8,10,26,8,13,11,23,17,7,23,15,27,2,12,6,24,23
"19",13,23,20,16,19,16,6,16,6,3,24,2,7,25,21,23,10
"20",20,19,25,21,26,26,14,9,22,8,2,20,5,10,16,18,19
"21",9,1,24,12,1,27,11,27,14,16,20,5,24,20,12,17,18
"22",17,7,7,18,18,7,4,14,21,26,8,26,23,23,23,15,22
"23",2,12,15,23,9,21,27,7,18,1,11,11,16,26,9,20,24
"24",14,5,22,20,23,5,26,13,5,12,5,6,19,6,11,9,3
"25",15,27,19,2,6,2,8,19,27,11,12,14,18,7,19,26,21
"26",21,14,27,26,14,12,2,21,20,5,16,12,26,14,4,1,5
"27",4,22,10,5,24,9,15,22,2,6,7,16,22,19,1,13,17
