"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",14,1,1,14,12,16,27,27,12,15,27,27,11,1,15,27,16,1,18,27,21,11,13,12,27
"2",1,8,12,12,7,5,12,2,4,3,8,3,26,9,17,17,26,5,26,19,14,10,15,13,3
"3",21,23,24,19,5,11,5,4,22,7,22,18,21,4,21,11,9,3,7,15,5,18,16,16,24
"4",24,18,17,10,15,3,19,20,3,23,5,15,23,3,9,18,3,21,3,16,16,2,14,1,22
"5",2,26,22,18,13,1,25,17,14,13,11,25,2,25,11,9,6,6,15,9,1,12,11,7,1
"6",20,19,5,7,11,10,18,5,20,8,23,8,7,8,4,4,8,22,22,7,23,8,9,10,9
"7",5,25,23,9,17,17,24,9,24,20,25,6,22,24,20,16,17,25,16,22,18,4,17,24,14
"8",13,6,25,8,6,25,9,7,8,18,17,19,15,19,26,23,7,10,9,4,20,6,6,3,8
"9",12,20,20,4,24,24,8,11,9,4,15,24,3,6,10,21,24,20,21,12,4,5,20,17,19
"10",22,24,10,25,18,22,21,18,7,6,21,5,10,13,24,20,22,18,6,20,8,17,5,9,5
"11",10,3,15,5,8,27,26,12,27,9,3,17,14,2,8,13,15,17,1,11,11,25,10,25,2
"12",15,27,2,11,19,12,4,8,2,14,1,22,9,16,16,14,1,14,11,25,26,19,27,26,6
"13",16,12,21,3,9,4,6,22,21,11,18,4,6,22,5,22,20,9,4,23,15,22,25,8,15
"14",9,21,7,16,21,26,3,24,23,25,16,13,25,7,12,8,23,8,10,8,22,15,18,5,4
"15",7,7,16,26,14,2,15,10,13,16,20,14,1,10,27,2,25,16,2,2,24,13,26,21,21
"16",25,11,13,27,10,20,2,15,15,1,14,26,27,27,1,1,14,15,12,26,17,1,8,19,13
"17",17,10,4,6,25,9,23,25,10,5,9,9,20,21,23,7,12,7,8,6,7,7,19,22,17
"18",23,4,11,20,3,15,11,21,25,26,12,7,4,12,18,19,4,13,20,13,3,3,23,23,7
"19",19,14,27,23,27,7,13,26,26,10,2,20,17,15,19,26,19,23,25,10,25,14,2,15,12
"20",3,5,9,2,22,6,7,16,18,24,19,23,19,11,22,5,5,19,17,21,9,21,4,11,16
"21",11,15,3,21,2,8,17,13,5,21,24,21,24,20,6,24,18,26,13,5,6,26,21,14,10
"22",8,13,19,17,16,21,10,23,1,12,26,2,18,14,2,12,2,12,27,3,13,20,7,27,25
"23",18,9,26,24,26,18,22,6,11,19,10,10,16,5,7,3,13,11,23,24,10,23,24,4,11
"24",4,17,6,22,23,19,14,3,19,22,6,11,5,18,3,25,11,4,5,18,12,9,3,18,20
"25",27,2,14,13,20,13,1,1,16,17,4,1,12,26,13,15,21,27,14,1,2,16,12,6,26
"26",6,16,8,15,4,23,16,19,17,2,7,16,8,23,25,10,10,24,24,17,19,24,22,2,23
"27",26,22,18,1,1,14,20,14,6,27,13,12,13,17,14,6,27,2,19,14,27,27,1,20,18
