"","V1","V2","V3","V4","V5"
"1",20,1,23,9,14
"2",14,17,13,17,1
"3",17,14,18,20,16
"4",1,25,10,16,15
"5",26,22,6,13,19
"6",3,2,14,21,22
"7",21,20,12,5,10
"8",15,6,27,15,25
"9",12,27,20,8,23
"10",6,21,24,23,18
"11",22,10,2,18,24
"12",24,16,21,3,21
"13",19,19,15,26,26
"14",18,7,7,7,2
"15",11,9,22,27,9
"16",8,13,5,25,5
"17",4,18,1,10,8
"18",25,4,9,24,11
"19",9,8,11,12,20
"20",16,26,3,22,13
"21",23,24,25,19,4
"22",10,23,16,1,6
"23",27,11,17,11,7
"24",7,15,8,6,27
"25",2,12,26,4,12
"26",5,5,19,14,3
"27",13,3,4,2,17
