"","V1","V2","V3","V4","V5","V6","V7"
"1",19,24,15,9,7,26,22
"2",14,15,21,25,1,21,17
"3",13,23,6,4,21,14,2
"4",21,14,3,7,26,20,20
"5",15,21,13,20,27,1,13
"6",24,10,25,19,10,15,26
"7",1,6,14,27,8,13,14
"8",6,11,8,2,6,22,12
"9",17,26,26,5,12,7,11
"10",18,4,7,22,23,10,23
"11",16,8,11,17,11,27,1
"12",12,13,10,12,2,6,27
"13",2,27,18,16,22,18,19
"14",5,19,5,23,15,24,24
"15",3,16,4,10,9,3,6
"16",9,18,20,1,18,12,25
"17",25,17,23,13,24,23,7
"18",10,1,2,18,17,19,8
"19",23,20,1,15,4,8,16
"20",22,3,17,6,3,17,5
"21",26,7,12,3,16,4,18
"22",11,5,27,11,20,25,15
"23",27,25,9,26,14,16,10
"24",4,9,16,8,25,9,9
"25",20,12,19,24,19,5,3
"26",8,22,24,21,5,11,4
"27",7,2,22,14,13,2,21
