"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",14,28,27,28,1,9,14,12,12,28,16,16,18,1
"2",27,19,9,16,14,4,2,25,4,26,27,17,16,13
"3",28,5,28,2,15,23,11,7,14,2,12,14,4,12
"4",4,14,26,15,24,5,12,21,7,3,4,20,26,15
"5",1,4,13,25,17,25,22,27,10,21,9,15,21,19
"6",22,23,16,20,22,22,21,3,2,14,6,19,8,4
"7",11,10,15,11,10,7,20,4,1,20,23,11,28,26
"8",9,15,21,24,13,16,28,1,15,5,28,1,20,10
"9",23,2,20,13,23,11,26,14,26,25,14,8,24,6
"10",3,20,7,14,8,27,25,9,18,24,22,21,2,14
"11",16,17,14,7,25,10,13,28,22,8,25,10,1,2
"12",17,8,17,9,7,26,4,15,5,7,17,27,23,3
"13",2,26,19,4,18,2,5,6,11,15,19,5,10,18
"14",13,7,5,8,21,17,15,13,6,27,1,2,6,21
"15",7,21,11,23,3,14,7,18,3,4,13,9,5,25
"16",24,16,12,5,4,15,8,2,23,22,5,22,22,20
"17",26,27,2,21,20,20,17,16,20,6,21,13,25,22
"18",20,1,6,27,26,13,10,5,9,11,24,23,13,17
"19",21,13,1,3,2,19,24,22,8,16,18,6,12,7
"20",18,18,24,18,27,28,1,10,17,19,10,7,17,27
"21",12,24,8,12,12,24,9,24,27,12,8,3,27,11
"22",10,11,22,22,19,18,6,23,24,23,20,25,7,8
"23",5,6,3,19,9,8,3,8,21,9,3,12,14,5
"24",6,3,25,6,5,21,16,19,25,13,26,18,15,24
"25",8,22,4,1,28,6,19,17,16,18,11,26,19,9
"26",15,12,10,17,16,1,23,11,28,1,15,28,9,28
"27",19,25,23,10,11,12,27,26,13,10,2,24,11,23
"28",25,9,18,26,6,3,18,20,19,17,7,4,3,16
