"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,22,28,7,13,27,1,17,13,15,6,10,14,22,28,13,28,18
"2",3,28,20,14,27,2,16,27,11,18,15,27,12,14,2,3,14,4
"3",15,9,1,15,9,25,13,28,12,19,13,1,27,24,19,28,15,1
"4",14,2,6,19,20,5,3,14,3,27,18,5,8,20,4,19,24,14
"5",7,11,26,23,3,1,14,8,9,5,14,12,25,11,9,16,25,28
"6",5,4,8,4,17,17,23,19,7,10,5,9,23,10,5,9,7,7
"7",27,20,25,25,18,15,25,6,2,23,4,18,19,23,12,15,16,3
"8",20,14,19,9,2,10,15,25,8,28,1,14,10,3,26,20,2,12
"9",11,10,13,1,12,11,4,7,19,4,12,17,5,1,18,2,22,2
"10",8,5,24,24,6,16,5,21,24,22,19,20,21,18,22,4,6,16
"11",12,17,5,21,19,26,10,23,1,3,28,26,18,2,15,14,8,17
"12",23,16,18,12,28,20,6,2,6,9,22,7,26,16,24,5,19,11
"13",13,26,23,2,21,6,20,13,23,2,11,2,20,21,16,23,4,15
"14",18,19,10,5,4,7,18,15,17,25,26,25,24,27,14,7,27,10
"15",25,6,3,8,23,4,9,4,14,20,8,22,16,13,20,11,5,27
"16",9,13,2,11,1,22,28,1,25,14,7,28,11,17,8,18,20,13
"17",26,25,12,3,7,18,8,22,10,7,20,19,6,19,6,22,17,26
"18",2,23,11,28,8,13,7,3,16,16,23,6,15,7,11,25,3,8
"19",19,3,21,26,22,21,19,20,15,8,10,24,7,9,21,24,26,9
"20",6,24,7,16,25,19,22,10,20,26,17,16,22,5,25,21,21,24
"21",28,7,22,10,14,14,27,26,21,17,24,3,17,4,10,10,23,22
"22",24,21,4,22,10,3,24,18,26,6,21,11,9,15,27,12,12,5
"23",10,15,9,27,26,12,12,24,22,11,2,8,1,26,13,8,18,25
"24",22,18,16,18,16,8,2,16,28,13,3,23,28,6,3,27,13,20
"25",21,1,15,17,11,28,17,5,18,1,16,15,13,28,1,6,1,19
"26",17,27,14,20,5,23,21,12,4,21,9,4,4,8,17,1,11,23
"27",16,12,27,6,24,24,11,11,27,24,27,13,2,12,7,17,9,6
"28",4,8,17,13,15,9,26,9,5,12,25,21,3,25,23,26,10,21
