"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",25,22,25,20,19,14,3,27,1,16,2,9,19,22,19,27,14,20,12,8,16,27,2,17
"2",28,16,19,7,28,12,16,17,28,28,12,15,1,11,27,2,28,28,16,15,18,14,8,27
"3",9,7,24,24,23,5,23,26,8,9,15,25,11,4,18,4,10,7,19,9,11,3,17,20
"4",5,24,22,6,18,23,25,6,23,3,5,12,23,7,11,10,15,9,10,5,19,10,6,8
"5",24,23,5,13,21,20,8,12,22,6,26,24,5,23,6,12,9,21,7,7,10,4,19,18
"6",11,1,18,1,27,1,1,1,14,13,19,27,16,26,16,18,21,15,1,18,22,13,7,10
"7",15,19,13,16,13,28,19,13,13,1,28,28,12,1,26,19,27,13,28,14,1,28,1,14
"8",7,10,9,28,3,19,17,8,4,23,7,20,4,15,25,13,4,18,6,10,23,8,3,12
"9",27,6,6,18,7,4,11,19,3,4,22,14,20,8,9,11,17,25,21,24,17,9,4,6
"10",10,26,12,25,24,25,2,4,10,19,14,5,15,9,4,3,6,23,18,21,3,18,12,11
"11",4,8,26,12,9,18,7,7,24,21,24,21,24,6,22,21,11,24,14,25,12,22,21,21
"12",21,25,27,22,12,17,13,20,15,18,10,23,6,3,5,17,22,3,4,27,24,17,18,2
"13",18,11,16,2,2,21,22,25,20,12,11,26,27,18,1,7,7,22,23,17,26,24,13,16
"14",8,15,17,27,1,13,9,22,26,7,18,4,22,13,2,24,26,12,5,13,7,7,10,24
"15",2,12,3,8,20,10,20,11,2,10,3,18,9,19,3,16,18,5,13,26,8,25,9,26
"16",14,28,15,17,10,6,18,15,9,2,13,11,28,25,28,6,2,14,2,28,14,16,28,28
"17",6,17,23,10,26,11,14,16,6,5,23,3,2,16,10,23,5,16,27,12,25,21,22,3
"18",12,4,20,19,14,27,28,10,17,14,4,10,3,24,12,28,25,26,20,23,15,2,25,15
"19",23,14,11,3,25,24,24,23,5,22,17,17,21,14,23,25,12,11,8,22,4,6,23,5
"20",13,5,7,5,8,26,5,21,7,17,20,8,8,10,13,5,24,10,9,4,20,23,26,19
"21",3,27,14,9,5,2,10,24,18,27,1,22,13,17,15,14,19,19,22,6,2,12,27,7
"22",1,18,1,15,15,16,15,28,19,20,27,1,17,28,20,1,16,1,15,20,28,1,11,13
"23",17,20,4,23,17,7,26,3,11,26,21,19,26,12,7,26,20,17,17,3,27,15,20,23
"24",26,13,21,21,4,3,27,2,21,24,25,6,7,20,14,8,13,8,11,16,6,26,16,9
"25",19,9,8,26,22,15,6,9,25,8,8,16,25,21,24,9,23,4,25,11,13,20,24,4
"26",20,2,28,11,11,22,12,14,12,25,16,13,18,27,8,15,3,2,26,2,5,11,5,25
"27",16,3,2,14,16,9,21,18,27,15,9,2,14,2,17,20,1,27,3,1,9,19,14,1
"28",22,21,10,4,6,8,4,5,16,11,6,7,10,5,21,22,8,6,24,19,21,5,15,22
