"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",9,4,14,3,11,2,9,22,25
"2",12,15,2,12,3,26,8,7,6
"3",25,3,16,14,15,25,27,19,3
"4",4,20,7,17,22,24,4,14,27
"5",24,17,23,11,6,15,17,28,28
"6",23,14,19,23,21,1,23,8,12
"7",26,21,3,26,7,7,11,16,10
"8",11,18,13,25,28,12,28,20,19
"9",18,6,6,18,24,6,18,26,5
"10",13,8,28,6,2,8,26,15,16
"11",15,25,5,20,12,10,25,4,26
"12",16,24,9,8,17,4,1,24,13
"13",21,26,27,16,26,18,10,21,7
"14",14,12,21,27,20,27,6,27,15
"15",17,2,25,24,10,23,19,11,24
"16",22,5,10,19,4,19,3,2,17
"17",1,16,26,13,16,5,12,1,20
"18",3,7,24,21,13,11,2,17,8
"19",8,9,11,28,18,16,16,5,1
"20",7,23,18,22,1,20,14,23,21
"21",6,1,4,7,27,14,13,10,14
"22",19,19,20,2,9,13,5,9,2
"23",27,10,17,10,25,9,7,6,23
"24",20,13,1,1,19,17,21,18,22
"25",28,28,12,5,14,28,15,13,18
"26",10,22,22,4,23,22,22,3,9
"27",2,11,8,9,8,21,24,25,11
"28",5,27,15,15,5,3,20,12,4
