"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",15,4,15,16,23,3,16,23,23,3,6,19,2,9,4,2
"2",6,11,19,20,10,4,19,26,4,7,27,2,23,20,16,21
"3",17,3,1,14,1,7,15,21,18,18,16,8,17,29,29,29
"4",16,6,29,13,8,19,3,13,29,8,19,29,28,18,10,20
"5",19,13,9,18,24,24,5,20,2,24,4,20,24,11,11,27
"6",5,14,4,25,5,21,10,10,16,25,21,23,6,21,8,3
"7",25,23,3,6,21,13,9,27,15,6,8,27,22,23,20,12
"8",4,20,21,8,4,15,26,9,19,2,2,24,15,10,17,28
"9",26,1,17,24,2,28,14,7,11,14,9,15,26,1,19,10
"10",12,18,14,29,29,1,29,8,9,17,13,22,29,28,14,16
"11",20,17,22,23,7,23,27,28,26,20,7,11,12,22,3,13
"12",28,12,20,2,12,2,8,5,25,26,14,21,11,12,27,17
"13",11,5,5,7,18,14,20,4,6,19,28,28,18,8,2,14
"14",18,27,18,17,22,16,4,6,20,16,29,3,1,27,18,9
"15",14,22,28,12,9,11,12,1,5,23,5,10,20,19,23,1
"16",13,16,12,4,6,25,6,24,8,4,23,9,3,7,25,15
"17",2,9,7,27,17,9,7,17,27,12,1,5,19,14,22,8
"18",21,15,23,3,25,8,22,11,17,11,22,7,25,4,7,4
"19",27,26,6,10,3,5,28,18,1,13,20,17,9,15,12,7
"20",9,24,10,21,11,6,2,3,13,9,10,12,8,5,6,24
"21",10,28,11,19,13,18,24,25,21,28,17,18,27,6,26,5
"22",22,19,27,26,16,10,17,22,14,22,26,26,5,3,21,25
"23",29,29,26,28,19,20,11,16,7,1,15,6,16,13,1,18
"24",8,10,24,15,20,27,21,15,3,10,11,25,7,26,28,6
"25",23,8,8,22,26,22,25,2,22,5,24,14,14,17,24,23
"26",24,7,13,5,14,17,23,12,10,27,3,4,4,24,9,22
"27",1,25,16,1,15,29,13,19,24,15,25,16,21,25,5,26
"28",3,2,25,9,28,12,1,29,12,29,18,13,13,16,13,11
"29",7,21,2,11,27,26,18,14,28,21,12,1,10,2,15,19
