"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,27,6,17,18,2,3,21,5,16,12,4,10,26,10,19,7,8,20
"2",8,8,22,15,16,20,21,22,28,13,29,8,13,4,25,21,28,3,22
"3",7,15,16,1,1,12,1,29,16,12,22,29,1,1,2,16,16,17,13
"4",4,13,18,12,14,11,12,6,1,6,2,16,23,17,8,26,29,25,28
"5",14,20,7,7,27,19,9,12,9,28,28,19,16,18,4,28,14,2,2
"6",20,5,8,10,20,6,27,5,13,7,25,28,12,21,28,17,8,23,17
"7",26,26,9,4,4,15,24,24,19,3,7,17,15,25,19,23,23,11,25
"8",1,6,11,3,19,26,14,20,24,19,13,25,20,29,15,6,26,18,4
"9",12,12,3,18,2,3,23,9,4,18,14,21,22,3,22,12,24,6,6
"10",11,24,24,27,7,29,16,10,25,4,16,27,19,20,7,18,5,5,16
"11",17,7,1,14,9,24,20,19,17,11,10,7,29,12,1,29,1,22,12
"12",3,25,20,5,22,10,18,17,10,2,24,11,25,10,23,8,3,12,8
"13",9,22,2,20,25,17,17,8,29,14,1,12,2,24,24,14,15,29,7
"14",25,28,25,16,21,23,4,15,11,20,6,26,27,6,26,20,22,21,15
"15",10,2,26,23,23,9,26,26,15,27,5,13,26,22,5,13,17,9,18
"16",23,4,21,8,6,8,8,4,26,17,4,14,9,7,13,22,9,10,3
"17",24,3,5,21,24,27,10,16,8,1,18,15,5,8,6,10,25,13,21
"18",27,14,13,25,11,16,2,3,14,9,26,9,28,27,12,4,21,7,10
"19",15,19,19,26,17,21,28,23,6,8,8,20,11,5,11,3,10,27,1
"20",19,29,23,11,12,5,22,14,21,21,19,6,8,19,3,2,27,24,11
"21",21,16,14,9,10,28,15,28,2,25,3,2,7,16,29,7,13,4,14
"22",6,9,10,29,13,14,5,13,20,29,9,18,14,9,27,1,2,14,29
"23",22,21,4,19,8,7,11,25,27,24,27,22,24,14,14,9,11,26,23
"24",13,1,27,6,3,22,6,11,7,15,20,5,18,23,20,11,12,28,24
"25",16,18,29,13,29,1,13,1,18,10,11,24,4,13,17,5,18,1,26
"26",18,11,17,28,28,4,7,27,22,5,17,1,17,15,21,25,20,20,5
"27",2,23,12,24,5,25,25,2,12,26,23,10,6,11,16,24,19,19,19
"28",28,17,15,2,26,18,29,7,23,23,15,3,21,2,9,15,6,16,27
"29",29,10,28,22,15,13,19,18,3,22,21,23,3,28,18,27,4,15,9
