"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",7,14,28,28,10,28,25,17,16,12,17,30,9,17,4,25,17,12,28,23,11,14,1,1,28,4
"2",11,2,18,20,20,12,19,2,18,14,30,20,1,30,1,2,28,24,1,17,1,10,15,12,16,21
"3",27,11,25,26,11,8,12,25,28,22,2,25,16,11,23,6,7,21,14,26,6,27,16,4,7,17
"4",21,30,29,23,18,15,2,8,15,27,16,1,20,13,2,11,27,5,27,7,24,28,23,11,17,18
"5",16,1,7,30,16,30,18,15,19,15,11,13,30,9,30,1,1,1,30,1,14,15,30,20,15,12
"6",4,3,16,17,19,21,14,29,23,23,15,7,18,16,20,29,12,29,2,2,29,21,3,7,20,29
"7",25,6,20,18,6,20,26,24,7,25,28,6,19,26,13,5,8,10,15,22,28,11,20,26,23,8
"8",22,13,11,15,22,17,1,30,1,17,12,22,29,1,8,15,29,30,12,30,17,13,11,17,30,1
"9",26,9,5,24,24,2,5,28,14,3,18,17,2,22,19,21,5,13,23,14,21,5,24,9,22,22
"10",2,12,8,25,12,13,27,9,2,10,1,2,11,12,24,26,26,17,8,19,25,2,21,18,9,14
"11",15,7,27,9,4,23,8,11,13,20,9,26,6,3,5,22,9,19,10,5,19,9,25,25,10,26
"12",17,28,2,21,27,26,17,10,8,13,4,28,22,25,9,9,6,14,11,20,27,20,4,13,6,25
"13",19,26,14,29,28,5,23,13,29,21,23,9,13,6,12,23,16,15,6,27,9,16,29,27,26,28
"14",18,10,24,2,29,3,24,12,17,18,27,27,24,20,28,24,20,27,25,9,26,17,19,14,8,7
"15",29,27,26,16,23,27,6,18,26,11,21,8,8,18,22,3,19,18,7,8,16,3,9,23,5,5
"16",6,4,6,10,26,10,10,20,27,29,3,10,4,21,6,17,21,7,21,24,18,23,14,22,11,6
"17",5,23,23,5,17,7,22,21,24,5,5,18,23,5,7,7,10,8,5,12,23,7,18,10,25,9
"18",8,8,22,22,25,22,29,23,11,4,20,16,26,4,17,19,25,6,17,13,3,25,10,24,2,24
"19",28,19,4,12,7,29,30,4,30,28,7,15,28,19,14,18,24,23,18,11,15,6,17,2,21,23
"20",12,21,13,19,2,19,15,3,21,2,22,14,7,2,15,12,14,28,20,28,30,22,27,8,1,3
"21",13,22,19,27,3,1,7,5,12,30,10,12,25,24,27,20,13,9,3,15,2,12,7,16,13,2
"22",14,20,21,3,14,24,9,22,10,8,6,5,10,23,29,8,23,25,24,21,5,19,26,15,27,27
"23",3,18,17,1,30,25,4,6,5,24,26,19,12,8,25,13,4,4,16,25,12,4,13,6,18,16
"24",20,16,15,8,1,11,16,16,22,6,14,24,17,29,21,14,30,2,29,29,22,1,5,30,14,30
"25",24,5,3,4,5,4,11,14,9,7,24,4,15,7,10,10,22,11,9,3,10,18,2,3,12,15
"26",1,15,1,13,13,16,3,7,25,9,25,29,21,27,18,16,11,16,13,4,4,29,22,29,29,11
"27",23,24,12,7,15,18,21,26,4,19,13,21,5,28,16,28,18,3,4,10,8,24,28,5,4,10
"28",10,25,9,14,8,6,28,19,6,26,19,23,3,10,26,4,15,22,22,6,20,26,6,21,24,20
"29",30,17,30,11,21,9,20,1,3,1,8,11,14,15,11,30,2,26,19,16,13,30,8,28,19,13
"30",9,29,10,6,9,14,13,27,20,16,29,3,27,14,3,27,3,20,26,18,7,8,12,19,3,19
