"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",25,25,24,24,10,6,26,6,24,11,13,6,21,26,11,11,24,28,12,28,25,25,14,25,20,22,17
"2",19,19,18,11,9,28,5,18,28,20,6,1,11,14,15,19,10,8,22,30,2,28,2,4,24,17,26
"3",29,10,5,26,22,4,23,19,13,18,3,16,26,6,16,15,3,27,21,8,4,4,20,3,18,23,23
"4",17,30,15,18,27,1,18,9,29,30,30,15,14,16,4,27,11,16,23,19,15,1,27,30,29,15,1
"5",6,8,4,27,11,25,15,4,27,10,26,5,22,7,14,18,27,11,26,13,24,17,24,5,10,7,10
"6",1,18,19,23,6,30,8,7,8,29,19,17,15,29,2,9,12,24,18,6,9,16,30,15,3,27,21
"7",9,9,12,12,21,15,27,21,23,27,28,24,6,25,6,3,20,26,13,17,3,24,9,2,13,3,13
"8",3,28,28,7,26,12,19,10,15,17,25,4,10,11,26,7,7,3,5,12,20,23,23,6,17,24,22
"9",22,22,27,22,12,5,3,24,7,15,29,22,20,15,19,5,29,4,27,14,6,13,13,21,11,2,27
"10",2,12,9,2,13,13,2,13,17,9,1,23,23,22,20,6,5,22,29,23,12,22,21,27,27,14,8
"11",21,7,11,3,18,20,11,11,12,4,27,2,2,18,17,13,16,23,20,20,29,3,8,29,7,26,28
"12",15,1,20,14,30,19,1,1,19,13,18,18,18,1,21,28,30,30,1,16,1,15,11,16,30,30,15
"13",27,24,16,6,17,8,7,5,26,6,4,11,4,4,7,2,14,12,9,4,8,11,16,14,4,8,9
"14",12,4,30,16,16,2,10,30,11,2,20,8,29,10,1,12,15,18,16,2,17,30,1,9,23,16,3
"15",20,5,29,8,5,14,25,27,22,25,8,13,7,13,27,20,26,19,24,9,13,18,25,22,6,25,6
"16",4,27,26,9,24,27,16,17,4,19,9,27,12,5,13,16,18,29,25,5,27,8,7,23,21,6,12
"17",24,2,3,13,14,3,12,3,10,21,17,29,5,28,29,21,9,9,17,7,23,27,17,20,22,5,18
"18",7,13,22,21,3,9,17,14,3,3,10,7,3,20,22,26,21,20,11,21,5,7,26,7,25,4,19
"19",11,6,25,4,7,23,24,16,25,12,21,19,27,23,9,24,6,6,4,3,10,6,15,26,15,10,25
"20",23,14,21,29,23,22,14,22,5,8,23,26,8,8,12,22,4,14,6,26,7,26,22,24,8,21,7
"21",26,11,2,1,28,24,22,20,6,22,14,10,17,12,3,10,28,13,8,24,16,19,28,18,26,9,29
"22",8,17,1,19,1,11,29,25,20,5,16,25,1,2,5,14,13,2,28,25,19,14,12,17,19,29,20
"23",13,21,7,5,8,7,21,8,9,23,22,28,24,9,28,17,22,17,7,29,11,5,3,8,5,18,11
"24",18,16,17,15,25,29,13,29,30,7,7,30,30,30,30,1,23,10,15,18,21,2,29,11,16,20,16
"25",14,3,23,20,19,21,28,2,2,26,5,12,19,17,18,4,1,1,19,27,22,10,10,12,9,13,5
"26",28,20,8,25,4,26,20,26,18,14,24,14,9,21,24,8,8,21,2,10,26,12,5,13,28,11,4
"27",16,23,14,30,29,17,30,12,16,1,12,20,16,24,25,30,17,15,30,1,14,29,6,10,1,12,30
"28",5,15,6,28,20,10,4,23,14,24,2,3,13,27,10,23,25,7,3,11,18,9,4,28,12,19,14
"29",30,29,10,10,2,18,6,15,1,16,11,21,25,19,8,29,19,5,14,15,30,21,18,1,14,28,2
"30",10,26,13,17,15,16,9,28,21,28,15,9,28,3,23,25,2,25,10,22,28,20,19,19,2,1,24
