"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",22,30,19,19,25,21,24,13,16,12,23,30,15,30,26,7,12,23,27,29,21,26,25,1,21,14,7,17,5
"2",3,16,14,7,27,12,28,9,5,7,29,2,23,14,9,8,25,21,6,13,20,11,3,6,10,8,8,19,23
"3",30,3,20,16,29,15,17,28,22,2,28,14,26,22,24,20,10,2,22,17,19,5,9,18,3,15,21,3,29
"4",13,9,28,23,13,6,13,19,21,19,4,6,27,28,2,12,29,29,21,25,16,7,20,14,29,6,4,9,14
"5",24,7,21,6,23,25,25,7,7,24,9,22,21,21,12,14,6,25,4,23,7,9,12,24,19,21,25,6,8
"6",6,12,8,21,20,20,15,10,6,22,7,29,28,29,20,13,21,4,14,9,12,22,24,28,5,4,19,26,27
"7",15,17,17,15,15,13,1,1,13,8,12,19,30,16,1,16,3,1,30,1,2,29,16,8,11,28,1,1,12
"8",1,14,6,12,5,29,2,24,29,6,16,20,20,25,16,10,20,17,24,21,5,1,2,20,17,16,12,30,2
"9",11,20,30,11,1,16,16,16,1,10,30,15,29,1,17,1,1,16,19,20,15,16,30,30,30,30,29,20,15
"10",9,1,29,30,16,14,30,30,30,13,13,21,12,13,29,5,24,12,1,14,1,30,17,13,18,10,30,15,18
"11",18,25,2,14,17,30,3,18,19,14,6,11,25,3,13,19,14,18,3,22,24,28,10,2,22,1,28,11,28
"12",5,29,26,13,14,19,23,4,20,11,10,9,2,6,23,17,28,3,13,3,26,8,6,29,20,17,14,7,10
"13",16,19,3,24,9,23,20,27,4,9,18,13,6,23,6,18,27,27,10,6,18,17,28,11,2,19,26,4,4
"14",12,13,1,1,30,7,12,11,18,17,1,1,10,9,30,2,17,13,16,30,13,20,14,17,1,23,13,2,1
"15",27,8,18,20,8,3,10,20,14,18,27,17,19,4,21,15,23,26,2,11,25,27,11,27,8,24,3,28,7
"16",26,15,9,10,2,4,29,5,23,27,11,12,24,17,25,26,18,15,28,7,30,13,23,15,15,2,27,18,3
"17",23,2,15,29,19,27,14,12,2,1,2,25,13,12,8,30,30,14,29,16,29,19,1,16,24,25,15,21,16
"18",19,11,11,9,6,22,26,22,10,23,24,7,11,5,5,24,22,6,25,28,6,25,19,25,13,12,9,10,25
"19",7,10,24,28,4,28,6,8,12,20,17,4,17,18,28,27,7,9,5,19,23,3,27,4,7,18,10,14,17
"20",25,22,27,3,7,24,19,29,17,21,3,26,9,10,11,9,5,10,18,10,17,12,8,5,4,7,6,25,13
"21",21,28,5,27,3,8,18,3,27,26,25,28,18,19,7,3,15,8,8,15,14,18,4,19,26,20,11,5,22
"22",14,26,22,26,18,10,5,15,3,29,26,23,3,8,19,22,19,20,23,24,4,10,5,12,6,3,22,12,9
"23",29,4,16,17,22,26,4,2,26,15,20,3,4,7,10,4,11,28,20,2,9,15,29,21,14,5,16,22,20
"24",2,23,7,25,28,17,27,21,28,30,8,16,7,15,15,21,2,30,17,18,28,14,18,22,12,29,2,16,30
"25",8,5,12,8,12,11,8,25,8,25,15,10,5,27,22,6,8,22,26,4,22,23,7,7,25,22,20,13,24
"26",4,6,4,22,24,1,21,14,15,16,21,18,14,2,4,23,4,5,15,8,11,2,13,3,28,13,23,27,6
"27",10,18,25,5,11,5,11,6,24,5,19,24,8,26,3,25,9,19,11,27,27,24,15,23,9,11,24,23,21
"28",20,24,23,2,26,18,7,23,25,28,22,5,22,24,14,28,26,7,12,12,8,21,21,10,23,26,18,24,11
"29",28,27,13,18,10,2,22,17,9,3,5,8,1,20,18,11,13,11,7,26,3,6,22,9,16,27,17,29,26
"30",17,21,10,4,21,9,9,26,11,4,14,27,16,11,27,29,16,24,9,5,10,4,26,26,27,9,5,8,19
