"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",4,12,3,14,10,12,5,15,2,5,14,5,12,7,14,5
"2",1,2,11,1,17,17,2,9,8,10,8,16,7,9,9,1
"3",5,13,13,3,4,15,16,13,16,13,9,4,11,14,12,11
"4",6,11,10,4,3,4,3,5,6,8,13,2,6,3,3,14
"5",14,3,12,15,16,5,17,7,7,11,11,3,13,2,11,8
"6",17,17,8,17,1,9,1,10,9,9,10,17,17,17,7,9
"7",2,10,16,8,8,8,9,1,10,2,1,13,16,1,16,10
"8",13,14,7,12,13,16,4,3,14,12,5,8,3,6,13,15
"9",15,6,2,2,2,10,15,6,3,6,6,11,4,10,15,7
"10",9,16,14,10,15,6,13,14,4,3,12,14,2,12,10,16
"11",12,7,4,5,12,13,12,11,15,7,16,15,14,4,2,12
"12",7,1,1,9,9,1,8,8,11,17,17,9,9,16,17,17
"13",11,4,17,11,5,11,7,16,1,16,3,10,10,8,1,13
"14",3,9,6,16,6,3,14,12,13,14,7,12,1,5,6,4
"15",10,5,15,13,7,14,10,2,12,4,15,6,5,15,5,3
"16",8,15,5,6,14,7,11,4,5,15,4,7,15,13,4,2
"17",16,8,9,7,11,2,6,17,17,1,2,1,8,11,8,6
