"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",11,10,17,15,7,4,1,2,3,8
"2",2,16,2,18,10,10,4,10,6,19
"3",6,3,14,11,14,19,8,6,1,16
"4",13,5,10,20,4,7,7,18,16,15
"5",5,13,18,17,1,17,10,13,9,3
"6",1,6,15,9,11,5,19,20,11,6
"7",7,1,4,16,15,2,13,12,18,10
"8",18,7,11,19,18,13,15,4,7,5
"9",10,8,5,7,20,16,2,19,8,13
"10",16,17,13,12,13,11,3,16,20,1
"11",8,20,9,2,6,14,14,17,2,9
"12",19,2,20,3,9,15,5,11,14,11
"13",9,19,19,13,19,8,18,8,15,14
"14",20,18,6,10,2,1,9,5,10,12
"15",15,14,16,4,16,3,12,14,5,18
"16",3,12,8,1,17,6,6,7,13,4
"17",14,4,3,6,5,9,17,9,4,2
"18",4,9,12,5,3,12,16,3,19,17
"19",17,11,7,14,8,18,20,15,12,20
"20",12,15,1,8,12,20,11,1,17,7
