"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",20,11,16,2,11,20,5,3,19,18,10,17,12,20,12
"2",15,6,2,13,3,13,13,6,15,8,17,21,5,13,21
"3",16,18,21,6,17,2,14,12,16,7,18,3,11,15,7
"4",3,19,3,12,15,4,3,8,8,17,8,8,10,18,20
"5",2,15,13,1,8,10,19,2,10,1,15,11,21,10,18
"6",19,3,14,14,19,11,2,16,12,15,19,10,19,4,17
"7",5,8,4,3,13,15,4,15,18,4,14,7,6,6,4
"8",17,10,6,19,12,18,17,18,5,5,11,4,17,19,15
"9",13,9,19,4,6,7,12,20,3,19,9,6,4,8,19
"10",9,16,8,9,2,21,8,7,2,13,20,1,13,3,11
"11",4,5,18,15,4,14,15,9,17,16,5,5,18,14,5
"12",14,14,1,5,18,12,11,13,1,14,3,19,20,12,3
"13",12,20,5,17,7,6,20,14,20,20,13,15,15,5,10
"14",8,2,11,8,20,17,21,10,6,21,16,13,2,16,9
"15",1,13,12,21,9,8,10,21,11,12,21,16,7,21,1
"16",7,7,20,18,14,5,6,5,4,6,12,20,16,7,8
"17",6,17,17,11,16,19,16,19,14,9,4,18,9,2,16
"18",21,4,7,10,10,1,18,4,9,10,7,9,8,1,2
"19",10,1,9,7,1,3,7,17,13,3,2,14,14,17,13
"20",18,21,15,16,5,16,1,11,7,2,6,12,3,11,6
"21",11,12,10,20,21,9,9,1,21,11,1,2,1,9,14
