"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",5,4,17,12,5,12,21,7,16,5,3,19,13,21,14,16,19
"2",4,13,22,9,22,2,15,1,21,15,16,11,17,10,10,13,2
"3",15,2,9,19,14,17,16,5,15,8,18,6,5,5,16,20,6
"4",21,18,18,13,4,11,20,16,2,3,20,9,14,4,7,10,8
"5",14,19,14,7,17,19,19,15,18,20,19,16,9,17,17,4,15
"6",2,21,3,5,9,13,10,3,13,4,14,8,2,9,8,6,21
"7",18,16,6,10,6,4,3,6,6,17,17,5,15,19,15,17,17
"8",16,17,11,22,8,15,13,4,12,12,10,22,21,18,1,1,4
"9",19,11,12,3,21,21,9,12,17,1,7,3,18,14,4,18,14
"10",3,3,16,8,13,18,2,19,5,10,13,4,10,20,9,5,5
"11",6,8,7,18,3,20,5,18,19,16,15,15,16,3,6,12,16
"12",17,1,13,1,10,1,14,21,11,11,12,12,22,6,22,8,22
"13",1,22,15,17,12,14,11,14,7,22,2,7,20,8,18,21,11
"14",10,6,5,11,16,7,22,8,9,19,5,1,12,2,3,2,13
"15",12,5,19,4,7,8,8,11,10,21,22,20,3,11,2,22,10
"16",11,14,21,21,2,5,6,13,20,7,9,2,6,12,20,3,12
"17",13,20,8,6,15,6,1,17,14,6,4,21,11,1,13,15,3
"18",9,12,4,2,1,22,17,9,1,13,8,13,8,13,21,14,1
"19",22,9,1,14,11,10,12,22,22,18,1,10,1,22,11,11,7
"20",7,15,10,20,18,3,18,20,4,9,11,14,4,16,5,19,18
"21",20,10,20,15,19,16,4,2,3,14,6,17,7,7,12,9,20
"22",8,7,2,16,20,9,7,10,8,2,21,18,19,15,19,7,9
