"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,3,15,13,8,21,15,18,8
"2",15,7,17,9,1,10,20,14,21
"3",1,15,8,1,11,11,10,16,1
"4",11,19,16,15,22,9,8,1,5
"5",4,11,3,10,17,16,19,2,17
"6",2,14,19,18,15,3,14,9,20
"7",16,22,5,14,18,2,16,15,11
"8",17,1,22,19,10,15,11,3,12
"9",10,8,1,22,12,8,6,22,13
"10",5,9,11,6,2,1,7,4,10
"11",6,21,13,20,5,13,1,13,16
"12",7,6,18,3,19,18,5,11,14
"13",18,12,20,11,7,4,3,17,3
"14",14,17,9,12,13,22,4,6,22
"15",21,4,4,8,16,12,2,8,7
"16",19,10,12,21,20,19,18,12,2
"17",8,5,7,17,6,6,21,7,4
"18",22,16,14,2,9,7,17,5,15
"19",9,18,21,7,14,14,22,21,9
"20",20,13,6,16,3,17,9,20,18
"21",12,20,2,4,4,20,13,10,6
"22",13,2,10,5,21,5,12,19,19
