"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",9,13,22,22,14,15,24,15,11,22,14,23,22,22,20,14,2,16,12,10,23,2,22
"2",24,24,23,12,24,23,13,12,23,13,24,11,13,12,1,15,12,24,24,12,13,23,24
"3",3,3,15,11,23,2,11,10,1,11,10,2,9,10,11,23,1,3,3,14,14,9,23
"4",7,6,3,15,19,17,5,8,21,8,16,16,6,18,22,20,6,21,16,8,7,11,3
"5",14,5,8,18,8,21,4,20,7,6,17,19,16,8,6,6,7,8,22,20,15,7,21
"6",10,17,10,9,17,7,22,21,20,3,19,6,5,5,17,7,5,18,9,21,20,18,15
"7",18,4,18,6,16,19,18,5,15,18,18,21,4,4,14,3,22,5,10,7,8,10,18
"8",13,12,24,1,22,14,1,14,8,14,13,14,24,1,24,10,13,12,2,24,2,16,1
"9",20,22,7,10,4,5,9,17,18,19,21,18,17,21,16,21,9,4,5,16,4,13,17
"10",17,19,5,21,21,9,21,9,10,21,6,22,7,7,4,22,15,10,15,22,16,14,5
"11",15,20,6,16,20,16,10,7,6,7,5,7,18,19,21,8,21,7,8,5,19,20,19
"12",19,7,17,14,7,8,6,6,19,17,7,5,19,3,19,18,19,19,20,18,21,6,14
"13",8,14,9,17,3,12,17,4,12,15,22,4,21,2,9,13,3,2,19,2,10,21,4
"14",21,8,21,4,9,6,16,18,5,9,8,17,3,16,18,16,8,9,21,3,17,22,7
"15",4,18,19,7,15,20,19,19,17,5,9,8,20,20,8,19,20,6,18,19,9,8,6
"16",23,11,13,24,1,24,15,1,9,1,11,1,1,24,13,12,11,15,11,23,1,12,13
"17",11,9,2,5,2,22,14,23,3,23,15,9,14,9,12,24,23,23,7,9,18,15,10
"18",6,15,20,19,6,11,8,16,14,4,3,20,8,6,7,17,18,20,4,4,5,17,20
"19",12,23,14,8,5,18,3,11,16,16,4,10,2,15,5,2,4,11,6,11,22,3,2
"20",16,16,16,20,18,4,7,22,4,20,20,3,10,17,10,5,17,17,17,6,6,5,8
"21",22,2,1,13,12,3,23,13,22,2,12,13,23,13,2,9,16,13,1,1,12,1,9
"22",2,10,11,2,13,1,2,2,13,10,23,24,12,23,3,11,24,14,14,15,24,19,12
"23",5,21,4,3,11,10,20,3,2,12,2,15,15,11,15,4,10,22,23,13,3,4,16
"24",1,1,12,23,10,13,12,24,24,24,1,12,11,14,23,1,14,1,13,17,11,24,11
