"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",7,12,16,19,23,22,15,1,5,15,23,19,10,23
"2",15,19,23,5,5,24,2,20,4,11,15,13,16,21
"3",23,4,5,24,8,15,12,10,1,22,9,15,18,19
"4",2,15,9,23,1,13,4,16,16,7,6,4,9,20
"5",14,6,6,21,22,4,1,4,24,12,13,14,6,9
"6",5,22,22,16,12,20,10,3,22,21,4,9,17,10
"7",24,24,15,8,24,16,6,13,6,13,5,6,8,2
"8",12,13,1,11,13,3,24,5,7,10,1,7,20,22
"9",16,11,17,20,6,5,8,23,12,16,2,20,24,4
"10",9,17,20,1,25,6,13,11,19,1,8,16,22,18
"11",18,10,18,6,10,10,7,8,20,20,17,1,4,24
"12",6,9,2,7,9,25,14,19,21,5,10,18,11,3
"13",3,8,19,14,21,8,20,21,3,23,12,3,15,8
"14",4,25,11,9,7,1,16,12,10,25,14,25,7,16
"15",11,16,24,25,14,14,25,15,17,19,18,17,1,1
"16",1,2,13,4,15,12,5,7,8,8,19,22,19,6
"17",13,3,8,3,19,21,18,24,13,18,3,10,2,17
"18",21,23,12,17,17,11,22,25,23,9,11,21,14,25
"19",25,1,25,18,16,2,11,18,14,6,22,8,12,15
"20",19,7,21,13,3,18,21,6,9,3,7,23,5,12
"21",8,5,14,10,4,17,23,14,25,14,25,5,25,14
"22",10,21,4,15,11,9,9,22,2,2,24,11,3,11
"23",20,14,3,12,20,19,3,17,18,24,20,24,21,13
"24",22,18,7,2,2,7,19,2,15,17,21,12,13,5
"25",17,20,10,22,18,23,17,9,11,4,16,2,23,7
