"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",7,13,11,14,13,24,19,2,9,1,1,25,2,11,11,24,12,17,1
"2",19,8,4,4,21,16,14,11,18,18,7,21,18,4,21,17,3,22,8
"3",8,16,9,6,8,18,20,5,19,19,22,5,6,21,19,5,7,15,20
"4",17,25,18,10,24,9,25,7,24,3,15,12,13,25,2,13,14,23,9
"5",18,22,6,19,11,3,18,17,13,7,21,4,9,3,22,22,20,11,7
"6",11,21,7,15,20,22,8,19,7,5,5,7,21,18,18,9,19,21,21
"7",25,11,25,16,15,25,1,13,25,25,16,11,12,14,24,25,13,13,25
"8",16,4,21,8,9,17,5,18,15,6,4,2,10,23,14,15,5,2,4
"9",15,15,16,5,22,20,10,22,5,20,23,19,5,19,7,19,24,10,10
"10",24,14,12,25,25,13,7,1,11,13,25,8,25,12,13,2,8,7,2
"11",2,20,14,7,3,11,6,6,20,11,11,23,22,16,23,21,21,6,12
"12",4,12,24,2,14,4,17,15,12,24,9,3,20,13,8,4,22,18,3
"13",6,2,3,21,10,8,3,8,6,22,18,18,14,24,16,12,16,19,6
"14",10,1,10,3,12,6,9,24,22,2,24,14,24,8,10,16,11,14,24
"15",23,18,2,1,5,10,2,12,8,14,2,9,3,7,1,10,15,12,16
"16",1,9,1,13,18,14,24,14,3,12,17,6,17,17,3,23,2,5,17
"17",12,23,5,18,4,23,16,21,23,23,12,16,16,10,5,8,10,3,5
"18",9,24,20,11,19,2,11,4,2,21,8,15,11,2,15,14,9,1,22
"19",14,10,13,12,1,1,13,25,1,10,14,13,1,15,25,1,1,25,11
"20",21,7,23,9,6,21,22,9,4,4,19,17,19,6,17,7,18,8,14
"21",3,19,22,20,16,15,4,16,16,8,20,22,8,5,6,6,4,20,15
"22",22,17,19,22,7,7,21,20,10,17,6,20,23,22,12,20,6,16,18
"23",20,6,8,17,17,5,15,10,17,9,10,24,7,20,9,3,23,4,23
"24",5,3,17,24,23,12,23,23,21,16,3,10,4,9,20,11,17,9,13
"25",13,5,15,23,2,19,12,3,14,15,13,1,15,1,4,18,25,24,19
