"","V1","V2","V3","V4","V5","V6"
"1",20,3,16,15,24,7
"2",17,8,21,23,8,5
"3",7,17,19,11,1,8
"4",18,24,10,4,21,15
"5",15,23,24,13,6,20
"6",8,7,25,17,19,17
"7",13,18,2,22,23,19
"8",9,2,12,21,3,22
"9",11,25,14,16,12,1
"10",4,4,22,3,11,11
"11",5,20,8,7,9,24
"12",2,9,3,14,7,16
"13",3,22,17,24,16,14
"14",12,10,18,5,22,23
"15",21,21,5,18,4,9
"16",1,14,13,10,25,10
"17",16,1,1,9,13,13
"18",19,15,20,19,14,25
"19",14,6,9,6,5,2
"20",22,12,15,2,2,18
"21",24,5,6,12,17,21
"22",25,13,11,25,10,12
"23",6,11,7,20,20,3
"24",10,16,4,1,15,6
"25",23,19,23,8,18,4
