"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,15,21,8,21,21,2,14,19,10,6
"2",26,14,12,21,19,1,26,15,11,1,12
"3",19,19,23,22,9,25,17,22,20,18,10
"4",25,7,24,15,25,19,8,7,17,22,14
"5",23,10,16,17,7,6,3,24,4,13,4
"6",18,6,7,6,3,14,6,8,21,2,11
"7",14,1,1,11,13,26,5,16,1,17,16
"8",13,26,17,1,12,2,9,10,26,16,9
"9",7,24,8,14,2,20,15,20,5,5,7
"10",2,21,2,16,8,5,21,6,18,9,15
"11",9,11,11,13,16,23,25,2,24,20,3
"12",3,5,15,2,10,17,23,25,12,24,13
"13",5,9,18,19,11,24,11,5,10,3,25
"14",8,8,9,7,26,3,16,21,16,14,26
"15",12,25,19,18,22,15,24,13,3,21,22
"16",11,2,26,25,5,12,19,12,14,11,1
"17",22,22,3,9,18,11,12,19,15,26,2
"18",4,4,6,23,20,7,10,9,7,19,8
"19",17,18,14,3,24,13,18,4,2,7,5
"20",10,20,25,5,17,9,7,23,8,4,17
"21",16,13,22,10,1,4,14,3,6,25,19
"22",20,23,10,26,15,16,1,1,13,12,20
"23",15,12,4,24,23,18,13,26,25,8,18
"24",6,17,13,20,4,10,4,17,22,23,23
"25",21,3,20,12,14,8,22,18,23,6,21
"26",24,16,5,4,6,22,20,11,9,15,24
