"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",2,9,14,4,28,21,20,7,7,2,14,21,24,10,9,24,20,21,15,3,23
"2",19,6,3,7,8,7,13,25,25,3,19,25,6,23,18,18,27,25,21,16,18
"3",7,3,27,12,13,28,9,3,13,14,20,26,10,6,26,4,9,10,22,18,22
"4",17,17,20,3,16,25,1,14,2,29,7,28,15,28,17,15,29,1,6,9,16
"5",22,24,4,22,6,12,21,11,11,24,16,23,7,8,21,23,4,9,7,6,24
"6",26,10,12,21,10,27,5,8,28,19,10,6,26,19,28,19,11,26,18,5,14
"7",4,18,19,16,17,3,4,23,26,8,8,14,11,7,6,11,7,27,4,8,25
"8",5,20,18,24,11,24,27,19,16,27,21,4,13,3,15,22,28,28,17,28,19
"9",28,16,13,2,27,16,2,17,20,10,27,16,1,2,24,28,13,13,12,29,11
"10",10,12,8,18,2,14,6,12,3,6,26,8,22,16,22,8,25,17,3,24,28
"11",20,21,9,20,26,26,15,24,4,22,4,18,3,18,8,3,14,20,23,23,26
"12",24,8,24,9,3,17,24,9,23,20,9,20,9,11,4,9,22,19,5,25,7
"13",27,4,5,11,20,23,26,20,14,9,22,5,16,24,3,7,10,8,9,7,20
"14",3,19,11,5,9,4,25,22,8,18,12,19,25,21,27,10,8,6,19,27,10
"15",6,5,6,13,22,11,10,4,12,25,5,10,12,26,16,26,6,23,10,22,4
"16",13,13,29,14,1,15,29,29,19,15,1,15,17,29,20,29,15,15,29,1,29
"17",29,15,15,19,15,1,28,2,1,11,29,29,14,14,13,14,12,29,28,13,1
"18",8,28,10,15,14,29,16,28,29,17,24,27,21,17,7,27,17,11,2,17,2
"19",1,14,16,26,7,9,14,6,22,21,28,13,2,25,10,2,18,2,14,2,12
"20",16,29,1,1,12,5,17,1,18,13,2,1,29,1,14,1,16,16,11,15,17
"21",14,23,23,27,24,18,22,15,21,4,18,24,27,27,19,5,1,24,8,20,13
"22",21,7,17,25,5,22,12,27,9,1,3,12,19,4,12,16,5,3,13,19,3
"23",15,1,28,28,29,2,19,21,5,16,13,2,4,15,29,20,19,12,1,14,15
"24",9,22,7,17,23,20,23,10,24,5,6,9,8,12,25,13,26,5,25,10,6
"25",12,2,2,29,19,13,3,18,17,28,15,22,28,5,1,12,21,14,27,12,9
"26",18,11,21,8,25,8,18,13,27,26,25,7,23,13,11,17,3,4,26,21,27
"27",23,25,26,10,21,10,11,26,10,23,23,11,20,9,23,6,23,22,16,4,5
"28",25,26,25,23,18,6,8,5,15,7,11,17,18,22,5,25,24,7,20,26,21
"29",11,27,22,6,4,19,7,16,6,12,17,3,5,20,2,21,2,18,24,11,8
