"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",15,10,19,3,1,17,16,17,1,13,13,30,29,1,1,2,28,15,15,3,3,15
"2",9,24,4,11,23,15,19,4,28,7,25,25,24,4,14,24,7,25,6,19,8,14
"3",14,12,5,23,5,13,4,25,22,24,24,19,23,6,25,25,19,5,26,8,26,17
"4",18,11,13,15,29,18,29,8,4,3,10,20,4,25,24,23,18,4,28,24,4,16
"5",17,15,22,26,18,1,2,2,16,1,1,29,14,11,12,15,9,17,30,2,17,29
"6",1,29,9,29,21,21,18,16,15,29,16,28,30,29,16,18,29,13,20,29,19,25
"7",24,9,10,21,25,11,8,14,6,27,21,8,9,5,6,6,5,26,22,27,13,19
"8",4,27,17,8,12,6,22,28,13,17,27,2,3,8,7,19,14,12,27,15,5,27
"9",12,7,29,14,14,9,13,3,3,18,28,17,22,22,21,3,13,11,3,25,29,28
"10",26,25,20,17,10,22,10,20,12,20,4,26,5,3,11,22,12,6,5,26,23,6
"11",13,1,30,30,13,16,15,30,30,15,12,13,16,16,17,30,1,18,23,30,2,1
"12",10,18,6,25,6,28,28,27,5,4,9,11,18,14,4,12,10,21,10,21,27,21
"13",3,3,12,10,28,3,24,23,10,22,3,24,19,9,22,10,15,24,18,12,22,3
"14",16,17,1,1,16,14,1,29,17,30,8,15,1,30,29,1,8,16,8,18,11,12
"15",21,21,14,27,8,4,23,6,19,23,19,21,20,24,2,9,3,2,12,13,6,7
"16",8,20,28,5,22,27,17,10,7,25,14,10,13,10,28,28,2,3,13,5,18,20
"17",30,30,15,16,30,30,11,24,21,19,17,16,17,15,20,11,17,30,1,1,1,30
"18",5,23,25,22,7,26,5,11,9,10,26,23,8,17,26,8,22,23,21,17,9,5
"19",20,19,27,6,26,5,7,26,20,9,20,22,12,23,3,26,27,22,14,22,25,18
"20",22,6,3,9,9,25,6,5,11,21,2,4,21,19,13,27,25,20,17,16,7,26
"21",2,13,11,4,2,2,9,12,24,2,15,5,15,12,19,13,23,1,2,28,15,10
"22",27,28,18,12,3,8,14,15,8,8,11,6,26,28,23,20,6,28,24,11,24,11
"23",7,5,21,19,27,23,3,22,14,6,23,3,27,27,8,17,11,8,9,9,12,9
"24",11,26,7,13,24,19,12,7,29,16,7,9,11,20,5,4,21,10,25,6,28,4
"25",25,4,8,7,11,24,21,19,26,5,22,27,7,21,18,7,4,9,19,10,20,24
"26",23,22,26,20,20,10,26,21,25,11,5,7,25,7,27,5,24,7,16,20,10,23
"27",6,8,24,18,4,12,27,13,27,26,6,18,6,26,9,21,20,27,7,7,14,22
"28",19,2,16,28,15,20,20,1,18,14,18,1,2,2,30,16,30,29,11,14,30,13
"29",29,16,2,24,19,7,25,18,2,12,30,12,10,18,15,29,26,14,4,4,16,2
"30",28,14,23,2,17,29,30,9,23,28,29,14,28,13,10,14,16,19,29,23,21,8
