"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",15,15,29,12,12,17,17,30,2,30,17,1,17,14,29,14,14,18,30,1,30,2,1,17,1
"2",20,12,21,23,6,4,7,22,12,22,14,26,25,27,21,27,25,4,20,19,27,26,17,27,11
"3",4,26,22,5,2,28,9,18,22,21,3,18,3,11,26,19,18,10,27,25,18,14,18,4,23
"4",11,20,4,21,15,25,23,10,8,23,10,7,23,7,22,8,22,5,10,21,4,24,5,6,7
"5",30,30,30,30,30,16,16,1,15,15,30,16,29,15,30,15,13,1,1,30,16,16,29,15,16
"6",10,23,25,18,21,6,4,23,10,7,8,5,19,5,19,20,5,26,8,20,5,6,19,25,21
"7",28,14,3,14,4,19,11,19,24,28,27,3,13,13,11,23,15,12,4,8,2,25,23,26,26
"8",1,16,1,1,16,13,19,16,1,1,15,10,1,30,14,16,30,2,14,16,14,1,30,29,18
"9",27,8,24,13,28,15,18,20,9,4,4,28,11,17,10,6,19,13,26,26,3,23,3,20,25
"10",18,18,17,10,1,30,30,15,14,13,16,15,30,1,1,1,1,30,29,15,15,30,16,30,17
"11",17,2,16,29,17,14,1,29,16,19,12,14,6,2,2,2,28,3,9,2,19,11,13,13,29
"12",23,28,9,6,10,9,6,9,5,26,7,25,18,19,7,4,4,9,18,9,9,8,24,12,13
"13",24,6,8,3,26,26,5,6,11,9,18,8,7,4,25,26,6,11,19,13,24,19,10,19,12
"14",21,17,10,11,9,8,14,3,19,5,2,13,28,26,27,21,24,28,11,3,13,18,4,11,28
"15",25,22,23,16,22,27,20,5,23,24,9,23,5,21,12,11,23,27,5,12,25,5,14,28,8
"16",29,19,2,19,18,2,10,17,21,2,28,21,21,6,3,18,20,16,28,18,20,4,12,3,3
"17",7,4,20,8,24,5,27,4,25,17,11,11,26,12,9,22,17,6,25,4,8,13,21,21,4
"18",2,9,14,15,29,1,12,2,3,29,21,19,14,10,16,10,16,29,15,17,29,28,20,1,30
"19",8,24,19,9,19,24,22,24,6,8,25,22,22,22,8,24,11,7,6,6,28,20,11,8,24
"20",14,25,12,25,7,7,24,7,26,10,24,6,10,18,17,5,10,8,22,23,26,9,7,24,27
"21",16,29,11,2,20,11,29,28,29,27,20,29,16,3,15,30,29,22,13,29,12,17,8,18,15
"22",19,11,26,26,8,22,26,8,7,11,22,24,9,8,18,25,26,20,21,7,6,7,25,7,20
"23",13,21,27,28,27,12,15,14,20,20,13,2,2,29,4,28,2,17,17,11,11,29,6,2,14
"24",12,10,28,7,11,20,3,11,28,6,19,4,20,20,6,7,27,19,12,27,23,22,26,10,10
"25",22,7,5,22,23,23,25,27,18,25,6,9,24,25,13,17,7,21,23,24,22,10,27,9,22
"26",6,27,6,24,25,21,8,26,17,12,23,17,12,24,24,3,21,24,24,5,10,21,22,22,6
"27",3,1,15,17,14,29,2,13,30,18,29,30,27,28,20,12,8,15,16,14,1,3,2,16,19
"28",26,3,18,4,5,3,21,25,13,16,26,12,4,23,23,9,9,25,7,22,7,15,15,5,5
"29",5,5,7,27,3,18,13,12,4,14,1,20,15,16,5,29,12,23,2,28,17,12,9,23,2
"30",9,13,13,20,13,10,28,21,27,3,5,27,8,9,28,13,3,14,3,10,21,27,28,14,9
