"","V1","V2","V3","V4","V5","V6","V7"
"1",4,10,14,13,17,19,18
"2",8,20,6,14,10,1,13
"3",15,19,13,17,13,12,1
"4",3,15,17,19,8,6,7
"5",20,7,12,11,11,4,20
"6",6,13,10,4,18,3,4
"7",2,3,5,6,12,8,16
"8",12,8,19,5,9,18,3
"9",7,5,16,1,15,13,12
"10",17,4,9,18,6,17,14
"11",11,16,2,3,7,14,19
"12",14,1,15,9,5,2,9
"13",10,2,7,15,20,15,5
"14",16,17,18,7,19,9,15
"15",13,9,1,20,16,5,11
"16",1,18,11,8,3,16,10
"17",9,12,20,16,1,11,17
"18",18,11,8,2,2,7,6
"19",5,6,3,12,4,10,2
"20",19,14,4,10,14,20,8
