"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",4,15,14,19,9,11,21,14,21,17,21,11
"2",8,3,13,20,5,3,11,3,16,4,11,3
"3",10,5,1,16,18,16,6,21,12,8,17,7
"4",2,21,10,10,20,13,8,5,14,6,1,14
"5",1,11,6,14,1,18,15,13,6,12,7,1
"6",20,16,5,18,10,5,2,10,9,1,6,9
"7",21,9,21,7,21,1,16,15,15,11,12,10
"8",15,1,12,12,14,19,19,9,17,16,2,6
"9",11,6,2,3,8,8,20,2,4,9,4,12
"10",16,20,11,8,7,14,17,19,2,5,15,5
"11",17,12,7,5,15,10,4,4,20,13,19,2
"12",3,2,9,9,11,4,3,18,3,15,14,16
"13",6,10,19,13,16,7,18,8,7,2,18,19
"14",7,14,4,4,12,20,13,16,19,3,10,20
"15",9,18,16,2,17,6,10,17,8,18,5,4
"16",14,13,18,15,4,9,5,20,18,10,3,18
"17",12,17,17,17,13,21,7,1,1,14,13,13
"18",19,4,15,1,2,17,9,11,10,7,20,15
"19",13,19,3,11,3,2,14,7,13,19,16,17
"20",18,7,8,21,19,12,12,12,5,20,8,21
"21",5,8,20,6,6,15,1,6,11,21,9,8
