"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",6,12,21,16,2,13,15,12,9,17,1,9,2,4
"2",20,8,14,11,6,5,4,5,12,20,21,3,10,6
"3",19,9,20,17,17,15,8,16,17,4,14,8,18,15
"4",13,3,16,9,20,8,20,7,16,9,5,7,15,1
"5",18,15,6,20,13,1,19,9,21,12,15,14,4,10
"6",12,4,10,19,12,17,3,19,2,14,17,15,13,2
"7",21,10,13,5,10,20,18,13,4,1,6,20,9,8
"8",7,2,19,18,9,4,7,4,6,7,10,18,6,14
"9",10,1,4,3,8,16,16,18,18,18,12,4,7,13
"10",16,19,3,12,16,14,14,3,7,19,11,17,19,5
"11",9,11,7,14,5,11,21,1,3,3,16,5,14,19
"12",17,5,2,8,3,2,9,15,8,11,2,12,20,16
"13",14,20,15,10,1,12,12,21,14,8,19,16,5,21
"14",15,14,11,1,21,10,6,10,1,13,9,2,1,17
"15",8,18,5,13,15,6,2,20,11,2,4,6,8,7
"16",2,7,9,15,19,7,13,14,15,21,7,21,11,20
"17",1,21,12,21,7,21,11,8,13,10,8,1,21,11
"18",5,13,8,2,4,9,5,11,19,5,13,19,17,3
"19",3,6,1,7,18,19,10,6,10,6,20,11,3,9
"20",11,16,17,6,11,18,1,2,20,16,3,13,12,18
"21",4,17,18,4,14,3,17,17,5,15,18,10,16,12
