"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",2,6,21,12,8,9,18,9,15,6,2,22,12,19,13,18,20
"2",7,15,16,13,18,1,22,1,22,14,14,12,22,8,11,11,1
"3",18,1,10,22,14,17,15,3,16,9,16,4,8,11,19,22,8
"4",22,16,22,9,4,16,17,14,9,5,21,13,13,1,6,15,7
"5",12,19,17,4,15,14,16,18,19,19,18,19,9,17,20,5,15
"6",3,21,3,6,9,18,13,2,13,7,12,9,3,6,8,6,21
"7",17,17,7,11,3,4,2,4,11,16,20,1,14,18,15,13,18
"8",15,20,11,21,7,10,14,6,5,11,10,20,19,22,2,1,9
"9",13,12,14,3,20,20,5,7,20,2,7,8,17,16,3,17,14
"10",5,3,19,10,13,19,1,17,7,13,13,3,11,21,7,7,2
"11",9,7,5,20,5,21,4,19,18,12,15,18,20,2,12,12,16
"12",20,2,12,5,11,2,12,22,4,1,11,10,21,12,18,9,22
"13",4,18,15,16,12,15,10,12,3,21,3,6,18,4,22,19,13
"14",16,5,4,8,16,8,19,13,14,18,5,2,16,3,5,3,12
"15",6,4,13,1,6,3,8,11,12,20,17,16,1,10,1,20,11
"16",10,14,18,19,2,5,7,15,17,3,6,5,4,9,16,2,10
"17",14,22,6,7,17,6,3,16,8,8,8,21,10,7,14,21,3
"18",11,10,8,2,1,22,21,8,1,15,4,14,7,13,17,10,4
"19",21,11,2,14,10,12,11,21,21,22,1,11,2,20,9,14,5
"20",8,13,9,18,19,7,20,20,2,10,19,7,6,15,4,16,17
"21",19,8,20,17,21,13,6,5,6,17,9,17,5,5,10,8,19
"22",1,9,1,15,22,11,9,10,10,4,22,15,15,14,21,4,6
