"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",4,20,20,3,11,19,7,4,9,9,3,7,4,17,4,16,12,9
"2",8,5,5,17,14,18,9,10,20,19,6,21,2,22,14,3,13,12
"3",19,7,14,2,9,14,16,16,4,3,5,19,15,19,16,12,18,19
"4",9,19,6,4,16,8,15,5,7,15,21,12,17,15,22,1,21,11
"5",7,9,19,14,3,2,6,12,1,17,7,5,12,3,10,4,19,17
"6",5,17,3,19,7,9,4,19,13,10,2,14,18,13,20,15,4,18
"7",2,12,12,7,2,5,20,14,19,5,11,3,9,18,18,5,8,3
"8",10,2,4,20,6,20,18,18,6,11,22,6,8,12,3,11,16,6
"9",21,21,2,12,4,16,12,7,3,2,12,15,5,2,12,6,5,8
"10",1,6,7,6,21,6,2,11,5,6,17,22,10,8,6,14,6,13
"11",12,4,22,15,15,21,10,3,11,4,15,2,19,9,17,7,7,20
"12",18,18,21,16,17,4,5,20,15,7,16,18,6,14,11,8,17,5
"13",6,15,13,21,19,15,19,8,22,1,10,13,14,4,8,17,22,14
"14",22,11,1,11,13,1,11,9,14,8,13,4,22,21,1,22,15,15
"15",13,22,8,9,22,11,22,22,10,16,8,1,1,6,13,13,11,22
"16",20,1,16,5,18,10,14,17,16,12,1,11,13,5,2,2,2,10
"17",16,16,10,1,1,22,3,15,21,21,18,10,16,11,7,9,10,16
"18",17,3,9,10,8,12,1,1,17,13,9,9,7,7,21,18,20,1
"19",11,8,18,13,5,7,17,6,18,14,20,16,3,16,9,20,3,21
"20",3,10,17,8,12,17,13,21,12,18,19,17,21,1,15,21,14,4
"21",15,13,15,22,20,13,8,13,2,22,14,8,11,20,19,19,1,7
"22",14,14,11,18,10,3,21,2,8,20,4,20,20,10,5,10,9,2
