"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",16,2,6,15,21,7,4,4,15,17,18,8,4,9,7,6,18,13,4
"2",15,4,1,8,7,20,1,12,12,1,1,15,22,12,16,1,9,9,8
"3",7,6,7,19,11,15,14,14,2,7,21,22,9,7,10,4,6,22,21
"4",14,12,11,9,20,23,23,17,13,9,23,12,2,21,6,23,5,4,9
"5",4,19,14,7,17,3,19,18,19,16,2,18,3,6,15,5,8,15,12
"6",20,17,15,13,2,17,22,1,14,14,9,9,20,10,4,7,2,14,23
"7",8,23,12,23,14,1,8,11,11,23,20,16,23,23,1,14,10,12,18
"8",12,10,13,2,16,19,5,3,1,21,7,14,5,13,22,19,15,16,22
"9",3,9,17,1,15,14,9,5,16,8,13,23,19,2,3,12,16,2,6
"10",23,13,21,18,3,13,2,16,20,10,17,17,1,5,18,15,14,8,17
"11",21,7,19,21,19,16,18,21,6,18,6,20,15,18,14,10,17,11,5
"12",11,8,20,3,5,6,7,22,8,20,14,1,11,15,8,3,7,3,15
"13",22,16,2,4,9,11,13,8,23,19,15,21,13,16,13,18,4,21,3
"14",18,20,9,5,13,12,16,15,3,15,22,4,21,3,20,8,22,7,10
"15",6,11,3,20,6,22,17,10,17,22,5,2,12,4,9,21,19,10,13
"16",10,14,4,14,8,4,20,2,10,5,12,19,8,20,23,9,20,1,16
"17",17,5,18,6,12,9,15,13,21,3,3,5,10,22,2,13,21,18,19
"18",13,21,16,22,10,8,11,7,4,2,4,6,6,8,12,17,3,5,2
"19",2,22,10,11,1,18,3,20,9,12,11,10,7,19,11,11,23,23,1
"20",9,18,22,17,23,21,12,6,18,6,16,3,14,17,19,2,11,19,11
"21",19,15,5,12,22,5,6,23,7,4,8,13,16,1,5,20,12,20,14
"22",5,1,23,10,4,2,21,9,5,11,19,11,17,11,17,22,13,17,7
"23",1,3,8,16,18,10,10,19,22,13,10,7,18,14,21,16,1,6,20
