"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,17,9,20,2,2,6,14,17,12,16
"2",5,5,17,18,6,21,22,11,11,8,23
"3",7,11,2,11,23,17,5,3,6,11,20
"4",8,18,23,16,22,22,11,15,18,9,2
"5",18,7,5,17,7,7,12,16,3,22,22
"6",23,23,7,19,19,14,7,10,12,21,4
"7",10,24,22,9,4,13,13,8,2,2,17
"8",4,4,8,5,9,9,10,9,20,5,3
"9",2,10,21,2,11,15,8,24,9,23,13
"10",15,19,4,1,12,1,17,4,10,7,10
"11",17,9,13,21,24,11,23,7,19,3,15
"12",9,1,3,24,14,16,15,20,21,17,11
"13",20,14,6,6,15,23,14,22,16,4,21
"14",21,2,24,15,13,3,9,1,13,14,18
"15",12,20,10,14,8,20,19,2,24,24,14
"16",24,12,20,12,5,6,18,23,22,10,8
"17",13,15,1,10,1,12,24,17,7,15,1
"18",22,3,12,4,20,19,20,13,1,13,9
"19",14,16,18,3,17,10,1,12,23,16,24
"20",6,22,14,8,21,5,21,19,14,20,19
"21",16,8,15,7,3,24,4,6,15,19,7
"22",11,6,11,13,18,4,2,21,8,1,6
"23",3,13,19,22,16,8,16,5,4,18,5
"24",19,21,16,23,10,18,3,18,5,6,12
