"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",11,23,11,3,14,25,17,2,16,24,16,23,22
"2",2,20,22,20,11,9,5,15,14,2,2,24,12
"3",23,26,7,21,5,16,10,11,21,9,9,18,24
"4",22,21,17,13,8,23,2,10,3,26,18,7,13
"5",17,2,21,9,7,4,7,3,15,10,26,11,19
"6",3,4,25,4,20,15,9,12,11,22,15,2,8
"7",9,7,2,24,16,12,3,4,5,21,5,15,15
"8",13,17,1,5,3,7,4,13,18,16,21,19,2
"9",16,16,24,25,2,6,23,19,8,23,14,14,21
"10",5,19,3,10,6,20,19,24,12,15,4,3,17
"11",8,3,12,14,9,2,14,22,22,25,8,21,5
"12",18,24,8,2,19,3,11,21,4,11,7,10,10
"13",14,10,19,26,15,26,6,26,17,13,11,5,1
"14",19,18,23,17,25,19,13,5,26,17,3,12,6
"15",4,12,18,12,23,5,20,7,1,14,10,20,26
"16",10,22,15,23,21,1,16,9,20,7,20,1,16
"17",24,9,26,1,12,13,18,23,25,4,17,17,14
"18",25,14,5,15,13,8,21,1,9,3,12,4,3
"19",26,15,13,16,24,11,8,25,10,20,24,26,18
"20",1,11,9,19,4,14,24,6,24,19,23,9,11
"21",12,5,10,18,10,18,12,20,2,1,22,8,25
"22",6,13,6,8,26,22,1,18,23,5,13,13,20
"23",21,6,14,7,18,10,26,16,19,18,1,6,23
"24",20,1,4,22,22,24,22,14,13,12,19,22,9
"25",15,8,16,6,1,21,15,8,6,6,6,25,7
"26",7,25,20,11,17,17,25,17,7,8,25,16,4
