"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",15,14,1,26,24,1,6,9,5,14,19,26,21,12,16,16,17,25,14,1
"2",22,8,13,5,7,11,4,4,15,20,18,9,11,21,23,10,24,4,3,6
"3",21,11,5,21,18,24,23,6,18,2,11,20,16,18,25,18,3,5,10,14
"4",2,13,25,14,16,18,21,1,17,15,25,1,12,8,12,19,26,24,7,21
"5",23,21,16,11,12,5,26,17,16,4,23,23,3,2,20,15,21,15,21,9
"6",1,26,10,15,11,15,1,24,1,6,13,13,20,14,21,24,25,3,17,17
"7",20,9,9,13,10,19,3,23,7,19,21,22,17,3,5,8,5,18,8,23
"8",14,5,12,6,8,3,15,8,4,7,7,7,2,16,18,20,1,23,15,25
"9",26,24,2,20,2,10,20,12,10,22,12,10,6,10,6,26,13,13,2,19
"10",7,2,15,23,26,12,18,15,26,10,16,11,26,1,22,11,11,14,1,22
"11",3,6,6,19,17,8,8,18,13,3,3,19,5,24,10,5,20,19,4,13
"12",12,19,3,3,25,23,7,16,19,11,20,8,7,20,1,14,18,8,18,24
"13",19,17,22,9,23,9,9,22,14,5,5,4,18,7,9,21,7,7,6,5
"14",13,1,26,1,1,14,11,11,12,1,26,18,19,11,13,1,12,6,23,18
"15",17,16,24,25,13,2,17,25,20,23,6,17,10,13,17,3,19,1,13,26
"16",10,3,11,16,15,16,12,3,21,18,9,21,4,5,4,23,15,2,24,3
"17",24,25,20,17,19,6,2,2,24,12,15,12,14,17,8,6,4,21,25,15
"18",11,15,21,8,3,17,10,20,25,16,14,25,9,26,24,25,9,26,9,11
"19",16,22,8,7,5,20,19,10,23,9,4,14,22,6,7,4,23,22,12,7
"20",4,20,19,4,14,7,25,5,6,17,8,24,24,23,2,13,10,9,11,16
"21",6,18,17,24,4,25,5,7,9,13,2,3,8,4,19,9,8,11,19,12
"22",9,12,4,2,20,13,24,26,8,21,10,5,15,9,26,7,14,20,26,10
"23",8,23,14,10,21,21,16,13,3,26,24,16,1,15,14,2,2,12,5,2
"24",25,7,18,12,22,26,13,14,11,25,1,15,25,22,15,22,22,17,22,20
"25",18,4,23,22,9,22,22,21,2,8,17,6,13,25,3,12,16,16,16,4
"26",5,10,7,18,6,4,14,19,22,24,22,2,23,19,11,17,6,10,20,8
