"","V1","V2","V3","V4","V5"
"1",22,26,23,21,21
"2",16,10,14,20,1
"3",23,12,3,16,26
"4",13,17,27,12,11
"5",6,13,26,25,14
"6",14,7,10,27,18
"7",1,8,17,17,8
"8",5,27,9,15,13
"9",24,6,24,14,5
"10",19,21,19,26,7
"11",2,16,12,24,24
"12",25,25,13,6,9
"13",27,14,18,9,19
"14",21,15,8,11,2
"15",18,19,1,18,16
"16",26,3,6,23,12
"17",10,23,4,22,4
"18",8,11,2,4,10
"19",11,20,15,13,27
"20",9,2,21,19,23
"21",20,4,16,1,15
"22",17,9,25,5,25
"23",4,5,5,10,20
"24",15,22,7,2,22
"25",7,24,20,8,17
"26",12,1,11,7,6
"27",3,18,22,3,3
