"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",7,27,5,24,13,11,15,20,13,23,17,21,19,27,7,3,26,13,5,25,5
"2",18,10,6,16,16,13,1,8,18,6,14,2,27,23,1,27,13,28,23,15,3
"3",23,16,25,1,19,2,13,18,2,20,20,17,24,20,4,18,25,16,28,6,17
"4",24,4,23,25,3,6,23,15,23,10,26,6,18,12,18,7,22,19,18,20,7
"5",11,2,16,17,12,28,18,4,11,17,12,14,8,25,25,2,28,27,26,9,20
"6",15,6,3,9,26,7,6,11,16,13,23,7,16,26,21,5,2,11,8,5,24
"7",14,12,26,20,25,17,20,13,28,12,9,28,14,24,9,16,1,1,27,28,11
"8",9,26,22,15,28,19,26,14,20,14,19,8,13,3,6,22,21,26,2,7,22
"9",10,8,13,19,15,3,25,23,4,5,16,26,26,8,27,12,5,21,1,11,15
"10",28,17,12,26,17,22,12,17,26,3,4,18,3,13,3,1,10,17,9,10,25
"11",20,25,18,18,5,12,3,24,6,15,22,10,7,4,8,4,3,5,24,12,13
"12",4,18,10,21,10,1,9,22,27,16,2,4,12,21,26,23,23,3,13,14,18
"13",21,22,14,10,14,24,5,5,25,4,21,15,25,7,24,17,27,6,7,24,12
"14",6,24,17,4,27,5,8,2,15,8,3,24,10,10,16,6,18,22,21,18,9
"15",12,1,21,5,11,4,14,9,24,25,11,16,5,9,12,28,6,10,6,8,4
"16",2,7,24,13,8,18,10,3,9,21,5,5,23,6,5,9,9,18,11,26,16
"17",17,28,19,3,6,23,22,16,7,7,6,9,20,28,20,26,4,14,16,19,21
"18",5,5,20,27,21,25,4,19,14,24,24,22,21,11,17,25,12,8,20,16,26
"19",22,14,27,11,2,14,2,25,17,22,13,25,4,22,23,14,16,25,4,22,23
"20",8,9,4,8,4,16,21,7,5,9,25,23,2,15,2,19,19,2,12,17,19
"21",19,3,8,12,23,9,16,28,10,2,10,12,11,1,11,20,24,12,19,27,28
"22",16,23,7,14,1,10,28,6,21,27,8,20,28,14,15,10,14,7,22,2,27
"23",1,19,9,6,7,27,11,27,22,11,28,19,17,18,10,15,7,24,17,3,8
"24",3,21,28,28,20,15,17,10,1,1,15,3,6,16,22,13,15,9,14,1,1
"25",27,20,11,22,22,8,24,1,8,26,27,13,9,19,14,24,8,23,10,23,14
"26",26,11,15,7,24,26,27,26,12,18,1,11,22,17,13,8,17,4,3,13,2
"27",25,13,1,23,9,20,7,12,3,19,7,27,15,2,19,21,20,20,15,4,6
"28",13,15,2,2,18,21,19,21,19,28,18,1,1,5,28,11,11,15,25,21,10
