"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",22,27,15,18,3,10,28,6,20,1,2,11,14,2,5,26,14,14,5,8,9,22,13
"2",8,12,18,27,17,14,23,14,25,26,27,8,8,12,4,25,3,26,21,25,16,14,3
"3",23,20,20,21,21,25,4,5,6,22,18,7,16,18,8,18,7,3,19,18,3,24,20
"4",18,25,8,2,15,18,3,3,18,8,23,24,2,15,17,11,2,27,17,5,13,5,8
"5",6,23,16,19,14,26,11,21,17,3,17,6,25,22,3,7,27,25,12,3,19,15,26
"6",20,6,4,15,12,23,26,16,12,7,5,10,27,16,27,4,1,5,16,27,14,18,4
"7",7,13,26,6,4,9,10,9,26,23,15,9,15,26,25,5,20,4,15,6,5,10,6
"8",26,28,1,25,28,3,17,13,10,24,11,13,13,21,14,1,16,24,14,17,28,2,10
"9",27,2,21,7,8,27,20,11,28,10,16,18,18,20,15,28,11,15,11,22,24,1,25
"10",10,10,5,5,26,24,18,10,3,2,14,15,6,3,2,6,21,16,27,19,6,12,17
"11",1,16,2,26,11,20,2,12,24,6,8,16,10,10,23,21,19,8,20,11,27,28,16
"12",14,4,17,16,10,6,19,1,5,27,4,4,1,14,18,10,13,17,25,2,21,19,27
"13",24,15,13,20,5,5,12,17,19,14,21,28,9,4,9,8,28,2,24,28,17,6,22
"14",28,1,19,28,18,11,1,23,1,12,19,17,23,1,24,14,17,20,13,1,8,16,12
"15",16,26,10,4,9,13,8,27,8,18,28,12,12,27,28,27,18,19,26,20,15,21,23
"16",9,19,22,14,7,8,6,19,2,9,7,21,3,25,1,15,6,9,9,21,23,17,5
"17",3,11,11,22,6,19,25,26,7,16,9,25,20,23,11,20,12,18,23,7,2,4,9
"18",21,18,23,8,27,17,9,28,23,15,1,2,24,6,12,12,10,13,28,14,26,9,7
"19",12,17,28,23,2,21,14,7,9,19,26,23,19,5,26,3,5,21,4,15,22,13,18
"20",17,9,27,12,23,2,15,8,11,4,24,22,26,19,13,23,22,11,22,9,18,26,1
"21",25,8,12,11,1,28,13,18,15,17,13,1,7,11,16,16,26,28,3,16,1,27,2
"22",15,7,7,24,22,7,16,25,22,5,25,5,4,24,21,17,8,10,6,13,7,8,21
"23",4,21,9,10,16,12,24,2,4,13,20,3,22,9,20,19,25,7,7,23,20,3,11
"24",13,5,6,17,24,15,7,4,27,20,3,26,21,28,10,13,23,22,8,26,11,20,15
"25",5,24,25,9,19,4,21,20,21,11,10,20,17,8,19,9,9,23,18,24,4,25,24
"26",2,3,14,1,20,16,27,24,16,21,22,19,11,17,7,2,15,1,1,12,25,23,14
"27",11,14,3,3,13,1,5,15,13,28,12,14,28,7,6,22,4,12,2,10,10,7,28
"28",19,22,24,13,25,22,22,22,14,25,6,27,5,13,22,24,24,6,10,4,12,11,19
