"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",16,10,13,19,27,8,17,1,21,24,23,19,8,4,8,18,15,9,6,3,27,23,24,7
"2",2,2,17,15,3,17,19,4,5,21,3,27,9,20,27,25,11,11,24,16,19,16,3,16
"3",23,13,9,26,7,19,2,9,6,3,7,11,5,14,12,6,13,23,26,20,26,14,25,5
"4",20,28,10,4,13,13,20,27,9,28,17,5,3,22,23,16,16,2,18,22,16,26,17,1
"5",9,7,20,7,23,15,1,5,17,7,26,22,27,24,20,4,17,15,13,25,7,22,12,4
"6",5,18,4,8,2,11,4,10,28,23,22,7,23,26,15,21,14,13,20,14,14,3,26,27
"7",28,15,28,13,20,3,23,24,20,18,27,20,17,15,26,7,23,22,27,15,21,12,27,20
"8",7,5,2,9,17,5,26,19,26,2,2,16,11,21,7,14,2,28,19,13,15,27,15,10
"9",4,8,23,11,9,10,6,25,18,5,10,6,6,9,21,9,20,3,12,4,24,5,11,18
"10",13,26,19,27,8,12,24,8,16,4,28,17,2,17,22,23,1,19,8,8,3,13,14,24
"11",15,3,27,1,25,25,27,14,1,9,20,14,10,2,13,13,8,6,17,21,10,10,22,26
"12",21,14,21,2,5,18,8,22,15,20,9,21,25,6,10,27,9,26,10,9,22,25,18,25
"13",18,23,26,20,4,1,16,2,24,11,12,4,20,5,14,2,6,12,22,19,11,24,4,14
"14",10,11,25,25,24,20,9,23,25,27,16,8,13,13,17,24,5,21,5,23,17,9,6,2
"15",27,6,16,5,21,9,13,6,12,13,18,3,4,12,2,28,19,24,21,11,8,1,5,12
"16",1,16,11,14,14,28,18,17,14,1,14,1,18,3,28,20,18,25,1,27,5,21,28,15
"17",17,22,12,18,19,27,7,26,13,6,24,18,21,25,4,19,4,7,25,12,25,11,2,17
"18",22,4,3,16,6,24,12,20,23,17,25,12,7,19,9,5,25,10,4,17,6,20,7,23
"19",25,21,24,22,15,21,14,16,27,8,6,25,12,28,19,26,26,5,16,6,9,18,23,8
"20",19,1,6,23,26,7,10,18,3,16,11,2,22,27,25,8,7,18,9,5,13,17,19,19
"21",8,25,1,3,11,2,11,15,2,10,21,24,14,7,18,15,27,20,7,18,28,15,1,9
"22",3,27,8,21,22,16,15,21,19,19,5,23,1,8,1,3,12,16,15,26,12,2,20,21
"23",6,20,22,17,12,26,21,3,4,22,19,10,19,23,5,1,24,27,11,7,18,8,16,11
"24",26,17,18,12,10,6,3,13,7,25,13,28,16,18,6,12,3,4,2,24,2,6,21,13
"25",11,12,15,28,16,4,28,12,11,15,8,9,28,16,3,22,28,1,14,28,23,19,10,28
"26",24,19,7,6,18,23,25,7,22,14,4,15,26,11,24,10,10,8,3,10,20,4,8,6
"27",12,24,14,10,28,22,5,11,10,26,1,13,15,10,16,11,22,17,28,1,1,28,9,22
"28",14,9,5,24,1,14,22,28,8,12,15,26,24,1,11,17,21,14,23,2,4,7,13,3
