"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",11,14,4,11,19,3,2,23,23
"2",25,23,8,8,22,27,13,14,22
"3",20,22,23,27,13,9,3,18,4
"4",3,26,27,9,9,8,20,15,19
"5",27,16,7,2,11,11,22,25,8
"6",23,28,16,15,28,6,16,22,12
"7",18,1,1,10,17,13,18,13,1
"8",16,10,24,3,26,4,25,10,16
"9",14,2,19,18,6,1,14,28,13
"10",24,18,18,16,7,22,26,8,2
"11",12,4,10,20,27,23,4,16,6
"12",9,24,12,22,18,2,23,4,7
"13",22,7,21,6,3,19,5,20,18
"14",2,17,22,17,25,14,6,9,27
"15",21,13,5,28,24,18,19,6,17
"16",5,6,15,26,21,12,27,21,20
"17",13,21,11,12,1,16,28,17,28
"18",28,8,28,13,20,15,9,2,10
"19",26,5,13,24,10,5,10,12,26
"20",8,20,20,5,23,17,11,27,3
"21",6,25,6,23,8,20,8,24,15
"22",7,3,17,4,12,21,17,3,24
"23",4,11,9,7,5,7,7,7,5
"24",10,15,25,25,2,28,15,11,9
"25",17,19,2,19,4,10,12,1,21
"26",1,9,3,14,14,26,24,19,11
"27",15,27,14,1,15,25,1,5,14
"28",19,12,26,21,16,24,21,26,25
